source_audio_path,en_source_text,vi_translation,cefr_level,unit_type,structure,function,grammar_points,collection_id,flesch_kincaid_grade,match_count,no_conflict_match_count,matching_audio_paths
qH5cnyKSL9w_sentence_509.wav,Alphabetically.,Theo thứ tự bảng chữ cái.,A2,word,,,adverb,12,,1,1,qH5cnyKSL9w_sentence_856.wav
qH5cnyKSL9w_sentence_856.wav,The names are arranged alphabetically.,Các tên được sắp xếp theo thứ tự bảng chữ cái.,A2,sentence,simple,declarative,present_simple|passive|noun_phrase|adverb,12,9.96,0,0,
E5MtNtVAgBE_sentence_027.wav,Alternative.,Thay thế.,A2,word,,,adjective,13,,1,1,elCuqmWqd28_sentence_749.wav
elCuqmWqd28_sentence_749.wav,We have no alternative but to fire him.,Chúng ta không còn cách nào khác ngoài việc sa thải anh ta.,A2,sentence,simple,declarative,present_simple|negation|pronoun|verb|noun|noun_phrase|verb_phrase,13,5.23,0,0,
EFN11jAjXEM_sentence_160.wav,Amaze.,Tuyệt vời.,A2,word,,,verb,14,,1,1,hhyViRq9AgI_sentence_565.wav
hhyViRq9AgI_sentence_565.wav,It amazes me that no one noticed the air.,Tôi ngạc nhiên là không ai để ý đến chất lượng không khí.,A2,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|noun|determiner,14,3.653,0,0,
UTJvBxhIaUI_sentence_046.wav,Amuse.,Giải trí.,A1,word,,,verb,15,,1,1,UTJvBxhIaUI_sentence_895.wav
UTJvBxhIaUI_sentence_895.wav,That picture will amuse you.,Bức ảnh đó sẽ khiến bạn thích thú.,A2,sentence,simple,declarative,future_will|noun_phrase|verb_phrase|determiner|noun|verb|pronoun,15,2.88,0,0,
S-FYtkOqTlU_sentence_131.wav,Analyze.,Phân tích.,A1,word,,,verb,16,,1,1,SHZDlHAWvGM_sentence_889.wav
SHZDlHAWvGM_sentence_889.wav,He tried to analyze his feelings.,Anh ấy đã cố gắng phân tích cảm xúc của mình.,A2,sentence,simple,declarative,past_simple|pronoun|verb|noun|noun_phrase|verb_phrase,16,4.45,0,0,
FBB4oj5xIIQ_sentence_856.wav,Annoy.,Làm phiền.,A2,word,,,verb,17,,1,1,yY0BaDXBSbk_sentence_017.wav
yY0BaDXBSbk_sentence_017.wav,You're starting to annoy me.,Bạn bắt đầu làm tôi khó chịu rồi đấy.,A2,sentence,simple,declarative,present_continuous|pronoun|verb_phrase,17,2.88,0,0,
MYQ5iy3aRSo_sentence_004.wav,Anticipate.,Hãy dự đoán.,B1,word,,,verb,18,,1,1,q0g5JAFFqPo_sentence_235.wav
q0g5JAFFqPo_sentence_235.wav,We don't anticipate any major problems.,Chúng tôi không lường trước bất kỳ vấn đề lớn nào.,B1,sentence,simple,declarative,present_simple|negation,18,10.35,0,0,
fXyoyYdUOvc_sentence_184.wav,Approving.,Đã duyệt.,A2,word,,,verb,19,,1,1,fXyoyYdUOvc_sentence_183.wav
fXyoyYdUOvc_sentence_183.wav,She gave me an approving nod.,Cô ấy gật đầu tỏ vẻ đồng tình.,A2,sentence,simple,declarative,past_simple|pronoun|determiner|adjective|noun|noun_phrase,19,2.483,0,0,
d2HRQKhrSs0_sentence_455.wav,April.,Tháng tư.,A1,word,,,noun,20,,1,1,d2HRQKhrSs0_sentence_456.wav
d2HRQKhrSs0_sentence_456.wav,She was born in April.,Cô ấy sinh vào tháng Tư.,A2,sentence,simple,declarative,past_simple|passive|pronoun|verb|preposition|noun|prepositional_phrase,20,0.52,0,0,
EpbcSXHX_Mo_sentence_160.wav,Arise.,Hãy đứng dậy.,A1,word,,,verb,21,,1,1,gzFpOCgvfuY_sentence_624.wav
gzFpOCgvfuY_sentence_624.wav,We will keep you informed of any changes as they arise.,Chúng tôi sẽ thông báo cho bạn về bất kỳ thay đổi nào khi chúng phát sinh.,A2,sentence,complex,declarative,future_will|conjunction|time_sequence|prepositional_phrase,21,4.791,0,0,
IQMT42t0by0_sentence_206.wav,Arrangement.,Sắp xếp.,A2,word,,,noun,22,,1,1,IQMT42t0by0_sentence_215.wav
IQMT42t0by0_sentence_215.wav,I like the arrangement of the furniture in this room.,Tôi thích cách bố trí nội thất trong căn phòng này.,A1,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|preposition|noun_phrase|prepositional_phrase,22,4.83,0,0,
VQeC1ZO2L-w_sentence_012.wav,Attempt.,Nỗ lực.,A1,word,,,verb,23,,1,1,VQeC1ZO2L-w_sentence_020.wav
VQeC1ZO2L-w_sentence_020.wav,I passed my driving test at the first attempt.,Tôi đã thi đậu bằng lái xe ngay lần đầu tiên.,A2,sentence,simple,declarative,past_simple|pronoun|determiner|noun|preposition|noun_phrase|prepositional_phrase,23,2.342,0,0,
mOz6lGMKetU_sentence_297.wav,Award.,Phần thưởng.,A2,word,,,noun|verb,24,,1,1,mOz6lGMKetU_sentence_301.wav
mOz6lGMKetU_sentence_301.wav,He certainly deserves the award.,Anh ấy hoàn toàn xứng đáng với giải thưởng này.,A1,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|noun_phrase,24,7.6,0,0,
L8MZhCnzX9M_sentence_399.wav,Bake.,Nướng.,A1,word,,,verb,25,,1,1,L8MZhCnzX9M_sentence_404.wav
L8MZhCnzX9M_sentence_404.wav,Did you fry it or bake it?,Bạn chiên hay nướng nó vậy?,A2,sentence,compound,interrogative,past_simple|question_form|conjunction|verb|pronoun,25,-1.06,0,0,
MYQ5iy3aRSo_sentence_385.wav,Base.,Căn cứ.,A1,word,,,noun|verb,26,,1,1,MYQ5iy3aRSo_sentence_391.wav
MYQ5iy3aRSo_sentence_391.wav,She sat down at the base of a tree.,Cô ấy ngồi xuống dưới gốc cây.,A2,sentence,simple,declarative,past_simple|pronoun|verb|adverb|preposition|determiner|noun|prepositional_phrase,26,-0.28,0,0,
eNFFf2rcKC8_sentence_177.wav,Bay.,Vịnh.,A1,word,,,noun,27,,1,1,eNFFf2rcKC8_sentence_180.wav
eNFFf2rcKC8_sentence_180.wav,We have a house with a view across the bay.,Chúng tôi có một ngôi nhà với tầm nhìn hướng ra vịnh.,A1,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase,27,1.29,0,0,
dOKwbK4u5zo_sentence_092.wav,Bend.,Uốn cong.,A1,word,,,verb,28,,1,1,dOKwbK4u5zo_sentence_093.wav
dOKwbK4u5zo_sentence_093.wav,The road bends to the left here.,Đoạn đường này uốn cong về bên trái.,A2,sentence,simple,declarative,present_simple|noun_phrase|verb|prepositional_phrase|adverb,28,-1.06,0,0,
A9E8K6ffHD8_sentence_231.wav,Boil.,Đun sôi.,A1,word,,,verb,29,,1,1,mCWg98-YBsA_sentence_477.wav
mCWg98-YBsA_sentence_477.wav,We asked people to boil their drinking water.,Chúng tôi đã yêu cầu người dân đun sôi nước uống.,A2,sentence,simple,declarative,past_simple|pronoun|verb|noun|determiner|noun_phrase|verb_phrase,29,3.755,0,0,
yY0BaDXBSbk_sentence_314.wav,Brain.,Não.,A1,word,,,noun,30,,1,1,yY0BaDXBSbk_sentence_313.wav
yY0BaDXBSbk_sentence_313.wav,The brain is the center of the nervous system.,Não bộ là trung tâm của hệ thần kinh.,A2,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|prepositional_phrase|determiner|noun|preposition,30,3.653,0,0,
SHZDlHAWvGM_sentence_201.wav,Branch.,Chi nhánh.,A2,word,,,noun|verb,31,,1,1,aHf27Jt0exE_sentence_196_seg_01.wav
aHf27Jt0exE_sentence_196_seg_01.wav,Their colleague was transferred to an overseas branch.,Đồng nghiệp của họ đã được chuyển công tác đến một chi nhánh ở nước ngoài.,B1,sentence,simple,declarative,past_simple|passive|noun|verb|adjective|preposition|determiner|noun_phrase|prepositional_phrase,31,5.23,0,0,
1CxAyEHcKHE_sentence_575.wav,Breast.,Nhũ hoa.,A1,word,,,noun,32,,1,1,3LHgzqb9HRM_sentence_227.wav
3LHgzqb9HRM_sentence_227.wav,Breast cancer is the most common type of cancer in the UK.,Ung thư vú là loại ung thư phổ biến nhất ở Anh.,A2,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|preposition|determiner|comparison,32,3.84,0,0,
d448ERf2gJk_sentence_422.wav,Breathe.,Thở.,A1,word,,,verb,33,,1,1,5QFYjqDs43g_sentence_233.wav
5QFYjqDs43g_sentence_233.wav,I can't breathe through my nose.,Tôi không thể thở bằng mũi.,A1,sentence,simple,declarative,modal|negation|prepositional_phrase,33,-1.45,0,0,
SHZDlHAWvGM_sentence_444.wav,Bubble.,Bong bóng.,A1,word,,,noun|verb,34,,1,1,S-FYtkOqTlU_sentence_270.wav
S-FYtkOqTlU_sentence_270.wav,"Bubble When water boils, bubbles rise to the surface.","Khi nước sôi, các bọt khí sẽ nổi lên trên bề mặt.",A2,sentence,complex,declarative,present_simple|conjunction|time_sequence,34,4.964,0,0,
SHZDlHAWvGM_sentence_445.wav,"When water boils, bubbles rise to the surface.","Khi nước sôi, các bọt khí sẽ nổi lên bề mặt.",A2,sentence,complex,declarative,present_simple|time_sequence|conjunction|noun|verb|preposition|determiner,35,3.755,1,0,S-FYtkOqTlU_sentence_270.wav
d448ERf2gJk_sentence_184.wav,Bury.,Chôn.,A1,word,,,verb,36,,1,1,d448ERf2gJk_sentence_181.wav
d448ERf2gJk_sentence_181.wav,Bury She buried the box in the back garden.,Cô ấy đã chôn chiếc hộp ở khu vườn phía sau nhà.,A1,sentence,simple,declarative,past_simple|pronoun|verb|noun_phrase|prepositional_phrase,36,3.653,0,0,
d448ERf2gJk_sentence_185.wav,She buried the box in the back garden.,Cô ấy chôn chiếc hộp ở khu vườn phía sau nhà.,A2,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|preposition|adjective|noun_phrase|prepositional_phrase,37,2.28,1,0,d448ERf2gJk_sentence_181.wav
UTJvBxhIaUI_sentence_596.wav,Bye.,Tạm biệt.,A1,word,,,,38,,1,1,UTJvBxhIaUI_sentence_598_seg_01.wav
UTJvBxhIaUI_sentence_598_seg_01.wav,She said bye to me and went away.,Cô ấy chào tạm biệt tôi rồi bỏ đi.,A1,sentence,compound,declarative,past_simple|conjunction,38,0.805,0,0,
3LHgzqb9HRM_sentence_461.wav,Calculate.,Tính toán.,A1,word,,,verb,39,,1,1,aWTrDkYdxK4_sentence_033.wav
aWTrDkYdxK4_sentence_033.wav,I calculate that we will arrive at the destination at about 6 AM.,Tôi tính toán rằng chúng ta sẽ đến nơi vào khoảng 6 giờ sáng.,A2,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|preposition|determiner|noun|adverb|noun_phrase|verb_phrase|prepositional_phrase,39,7.634,0,0,
w9FIqvip19Y_sentence_127.wav,Chairwoman.,Chủ tịch.,A2,word,,,noun,40,,1,1,dOKwbK4u5zo_sentence_357.wav
dOKwbK4u5zo_sentence_357.wav,She was the chairwoman of the finance committee.,Bà ấy là chủ tịch ủy ban tài chính.,A2,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|noun_phrase|preposition|prepositional_phrase|adjective,40,6.705,0,0,
73xazK1Llhw_sentence_883.wav,Chase.,Đuổi.,A1,word,,,verb,41,,1,1,73xazK1Llhw_sentence_891.wav
73xazK1Llhw_sentence_891.wav,Don't chase after fame.,Đừng chạy theo danh vọng.,A2,sentence,simple,imperative,negation|present_simple|verb|preposition|noun,41,0.72,0,0,
EFN11jAjXEM_sentence_257.wav,Collect.,Sưu tầm.,A1,word,,,verb,42,,1,1,tAgsbxzQJ9I_sentence_285.wav
tAgsbxzQJ9I_sentence_285.wav,Do you still collect stamps?,Bạn còn sưu tập tem không?,A1,sentence,simple,interrogative,present_simple|question_form|pronoun|verb|noun|adverb,42,0.52,0,0,
1CxAyEHcKHE_sentence_185.wav,Command.,Yêu cầu.,A1,word,,,verb,43,,1,1,eNFFf2rcKC8_sentence_550.wav
eNFFf2rcKC8_sentence_550.wav,Who gave the command?,Ai đã ra lệnh?,A2,sentence,simple,interrogative,past_simple|question_form|pronoun|verb|determiner|noun,43,0.72,0,0,
5QFYjqDs43g_sentence_995.wav,Compare.,So sánh.,A2,word,,,verb,44,,1,1,PdQfA-Fhcmk_sentence_400.wav
PdQfA-Fhcmk_sentence_400.wav,Don't compare your children with others.,Đừng so sánh con cái của bạn với những đứa trẻ khác.,A2,sentence,simple,imperative,present_simple|negation|verb|noun_phrase|prepositional_phrase,44,4.45,0,0,
28wOHb8a6F4_sentence_189.wav,Complaint.,Lời phàn nàn.,A2,word,,,noun,45,,1,1,_0J3v14ZjW4_sentence_218.wav
_0J3v14ZjW4_sentence_218.wav,"As far as I'm concerned, I have no complaint.","Theo tôi, tôi không có gì để phàn nàn.",A2,sentence,complex,declarative,present_simple|negation|pronoun|noun|adverb_phrase,45,2.342,0,0,
FMZvsN1t13I_sentence_380.wav,Complicate.,Làm phức tạp.,A2,word,,,verb,46,,1,1,RTQzXWhlRFM_sentence_554.wav
RTQzXWhlRFM_sentence_554.wav,Don't complicate the matter.,Đừng làm vấn đề thêm phức tạp.,A2,sentence,simple,imperative,negation|verb|determiner|noun|noun_phrase,46,6.62,0,0,
-yljNBUV0cw_sentence_657.wav,Concentration.,Sự tập trung.,A1,word,,,noun,47,,1,1,1cHYKOqk6_I_sentence_702.wav
1cHYKOqk6_I_sentence_702.wav,I really appreciate his concentration.,Tôi thực sự đánh giá cao khả năng tập trung của anh ấy.,A1,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|noun_phrase|verb_phrase,47,14.68,0,0,
IQMT42t0by0_sentence_363.wav,Confined.,Bị giam giữ.,A2,word,,,verb|adjective,48,,1,1,IQMT42t0by0_sentence_536.wav
IQMT42t0by0_sentence_536.wav,He was confined to his room.,Ông ta bị quản thúc tại gia trong phòng.,A2,sentence,simple,declarative,past_simple|passive|pronoun|prepositional_phrase|preposition|determiner|noun,48,0.517,0,0,
1CxAyEHcKHE_sentence_307.wav,Confront.,Đối đầu.,A1,word,,,verb,49,,1,1,L8MZhCnzX9M_sentence_185.wav
L8MZhCnzX9M_sentence_185.wav,I think it's time for me to confront that problem.,Tôi nghĩ đã đến lúc tôi phải đối mặt với vấn đề đó.,A2,sentence,complex,declarative,present_simple|pronoun|verb|noun|preposition|determiner|verb_phrase,49,2.47,0,0,
MYQ5iy3aRSo_sentence_329.wav,Confuse.,Bối rối.,A2,word,,,verb,50,,1,1,mCWg98-YBsA_sentence_059.wav
mCWg98-YBsA_sentence_059.wav,I always confuse John and his twin brother.,Tôi luôn nhầm lẫn John với người anh em sinh đôi của anh ấy.,A2,sentence,simple,declarative,present_simple|pronoun|adverb|verb|noun|conjunction|noun_phrase,50,3.755,0,0,
28wOHb8a6F4_sentence_216.wav,Connect.,Kết nối.,A1,word,,,verb,51,,1,1,td7W9lJknM0_sentence_270.wav
td7W9lJknM0_sentence_270.wav,Connect the two cables together.,Nối hai dây cáp lại với nhau.,A2,sentence,simple,imperative,present_simple|verb|noun_phrase|adverb,51,7.6,0,0,
eklfrJkH6xw_sentence_852.wav,Contain.,Bao gồm.,A1,word,,,verb,52,,1,1,3LHgzqb9HRM_sentence_327.wav
3LHgzqb9HRM_sentence_327.wav,Some mushrooms contain deadly poisons.,Một số loại nấm có chứa chất độc chết người.,A2,sentence,simple,declarative,present_simple|determiner|noun|verb|adjective|noun_phrase,52,7.6,0,0,
dOKwbK4u5zo_sentence_499.wav,Contribution.,Sự đóng góp.,A2,word,,,noun,53,,1,1,qH5cnyKSL9w_sentence_847.wav
qH5cnyKSL9w_sentence_847.wav,I really appreciate his contribution for this work.,Tôi thực sự đánh giá cao sự đóng góp của anh ấy cho công việc này.,A1,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|preposition|prepositional_phrase,53,9.655,0,0,
gzFpOCgvfuY_sentence_724.wav,Conventional.,Thông thường.,A2,word,,,adjective,54,,1,1,dOKwbK4u5zo_sentence_099.wav
dOKwbK4u5zo_sentence_099.wav,Why are conventional language classes so boring?,Tại sao các lớp học ngoại ngữ truyền thống lại nhàm chán đến vậy?,A2,sentence,simple,interrogative,question_form|present_simple|adverb|adjective|noun|noun_phrase,54,9.054,0,0,
E5MtNtVAgBE_sentence_410.wav,Creature.,Sinh vật.,A1,word,,,noun,55,,1,1,CWdJd0sDlOw_sentence_663.wav
CWdJd0sDlOw_sentence_663.wav,The dragon is an imaginary creature.,Rồng là một sinh vật tưởng tượng.,A2,sentence,simple,declarative,present_simple|noun_phrase|adjective|determiner|verb,55,10.35,0,0,
dVx3Jzfd7Hc_sentence_348.wav,Crop.,Mùa vụ.,A2,word,,,verb,56,,1,1,MYQ5iy3aRSo_sentence_192.wav
MYQ5iy3aRSo_sentence_192.wav,We have a good crop of tomatoes this year.,Năm nay chúng ta có một vụ cà chua bội thu.,A2,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|preposition|noun_phrase|adverb_phrase,56,2.342,0,0,
5QFYjqDs43g_sentence_1011.wav,Cry.,Khóc.,A1,word,,,verb,57,,1,1,5QFYjqDs43g_sentence_1013.wav
5QFYjqDs43g_sentence_1013.wav,"As soon as she saw me, she started to cry.","Vừa nhìn thấy tôi, cô ấy liền bắt đầu khóc.",A2,sentence,complex,declarative,past_simple|time_sequence|pronoun|verb|conjunction|adverb_phrase|verb_phrase,57,1.29,0,0,
3LHgzqb9HRM_sentence_395.wav,Cultural.,Thuộc văn hóa.,A2,word,,,adjective,58,,1,1,3LHgzqb9HRM_sentence_399.wav
3LHgzqb9HRM_sentence_399.wav,I think that cultural exchanges are important.,Tôi nghĩ rằng giao lưu văn hóa rất quan trọng.,A2,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|noun_phrase|noun|adjective,58,9.054,0,0,
EpbcSXHX_Mo_sentence_717.wav,Curl.,Uốn cong.,A2,word,,,verb,59,,1,1,EpbcSXHX_Mo_sentence_906.wav
EpbcSXHX_Mo_sentence_906.wav,I curl the paper.,Tôi cuộn tờ giấy lại.,A1,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|noun_phrase,59,0.72,0,0,
1CxAyEHcKHE_sentence_196.wav,Curve.,Đường cong.,A1,word,,,verb,60,,1,1,1CxAyEHcKHE_sentence_205.wav
1CxAyEHcKHE_sentence_205.wav,That's a dangerous curve.,Đó là một khúc cua nguy hiểm.,A2,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase,60,3.67,0,0,
Vm4TBei0oSk_sentence_141.wav,Custom.,Phong tục.,A2,word,,,noun,61,,1,1,my310Q7i_5c_sentence_760.wav
my310Q7i_5c_sentence_760.wav,He is very proud of his custom bike.,Anh ấy rất tự hào về chiếc xe đạp độ của mình.,A2,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective|preposition|determiner|noun|adjective_phrase|prepositional_phrase,61,2.28,0,0,
FBB4oj5xIIQ_sentence_097.wav,Date.,Ngày.,A1,word,,,noun|verb,62,,1,1,gPNgMoikiVo_sentence_609.wav
gPNgMoikiVo_sentence_609.wav,What's the date today?,Hôm nay là ngày bao nhiêu?,A1,sentence,simple,interrogative,present_simple|question_form|noun|verb|determiner|adverb,62,0.72,0,0,
cQU8U99fZnQ_sentence_236.wav,Decay.,Sự phân rã.,A2,word,,,verb,63,,1,1,w9FIqvip19Y_sentence_597.wav
w9FIqvip19Y_sentence_597.wav,Salt helps to preserve food from decay.,"Muối giúp bảo quản thực phẩm, ngăn ngừa hư hỏng.",B1,sentence,simple,declarative,present_simple|noun|verb|prepositional_phrase,63,2.311,0,0,
7CmrrThEX3E_sentence_441.wav,Decide.,Quyết định.,A1,word,,,verb,64,,1,1,2cy7Bzp7F9U_sentence_367.wav
2cy7Bzp7F9U_sentence_367.wav,They decide how far is it?,Họ quyết định khoảng cách là bao xa?,A2,sentence,complex,declarative,present_simple|pronoun|verb|question_form|adverb,64,0.517,0,0,
SHZDlHAWvGM_sentence_012.wav,Declare.,Tuyên bố.,A1,word,,,verb,65,,1,1,S-FYtkOqTlU_sentence_005.wav
S-FYtkOqTlU_sentence_005.wav,Do you have anything to declare?,Bạn có điều gì cần khai báo không?,A2,sentence,simple,interrogative,present_simple|question_form|pronoun|verb|verb_phrase,65,4.45,0,0,
my310Q7i_5c_sentence_702.wav,Decorate.,Trang trí.,A1,word,,,verb,66,,1,1,my310Q7i_5c_sentence_708.wav
my310Q7i_5c_sentence_708.wav,Let's decorate the Christmas tree.,Chúng ta cùng trang trí cây thông Noel nhé.,A1,sentence,simple,imperative,modal|verb|noun_phrase,66,5.24,0,0,
FMZvsN1t13I_sentence_352.wav,Decrease.,Giảm bớt.,A2,word,,,verb,67,,1,1,eklfrJkH6xw_sentence_785.wav
eklfrJkH6xw_sentence_785.wav,This medicine will decrease your pain.,Thuốc này sẽ giúp giảm đau cho bạn.,A2,sentence,simple,declarative,future_will,67,4.45,0,0,
eNFFf2rcKC8_sentence_011.wav,Defined.,Đã định nghĩa.,A2,word,,,verb,68,,1,1,eNFFf2rcKC8_sentence_016.wav
eNFFf2rcKC8_sentence_016.wav,Things are not clearly defined.,Mọi thứ không được định nghĩa rõ ràng.,A2,sentence,simple,declarative,present_simple|passive|negation|noun|verb|adverb,68,2.88,0,0,
CWdJd0sDlOw_sentence_042.wav,Delight.,Tuyệt vời.,A1,word,,,verb,69,,1,1,aHf27Jt0exE_sentence_726.wav
aHf27Jt0exE_sentence_726.wav,The gifts will delight the children.,Những món quà này sẽ làm các em nhỏ vui mừng.,A2,sentence,simple,declarative,future_will|noun_phrase|verb_phrase|determiner,69,2.483,0,0,
DRNH2LZ7HH0_sentence_112.wav,Depress.,Buồn bã.,A2,word,,,verb,70,,1,1,yzQdKLHuq4Y_sentence_739.wav
yzQdKLHuq4Y_sentence_739.wav,Failure didn't depress him.,Thất bại không làm anh ấy nản chí.,B1,sentence,simple,declarative,past_simple|negation|noun|verb|pronoun,70,6.62,0,0,
IQMT42t0by0_sentence_286.wav,Devote.,Tận tâm.,A2,word,,,verb,71,,1,1,gzFpOCgvfuY_sentence_505.wav
gzFpOCgvfuY_sentence_505.wav,I want to devote more time to my family.,Tôi muốn dành nhiều thời gian hơn cho gia đình.,A1,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase|determiner,71,3.653,0,0,
S-FYtkOqTlU_sentence_011.wav,Diamond.,Kim cương.,A1,word,,,noun,72,,1,1,SHZDlHAWvGM_sentence_433.wav
SHZDlHAWvGM_sentence_433.wav,He bought her a diamond ring.,Anh ấy đã mua cho cô ấy một chiếc nhẫn kim cương.,A1,sentence,simple,declarative,past_simple|pronoun|determiner|adjective|noun|noun_phrase|verb_phrase,72,0.517,0,0,
rvjLZBOi-I8_sentence_251.wav,Disadvantage.,Điều bất lợi.,A2,word,,,noun,73,,1,1,nn2VCV-u0-8_sentence_462.wav
nn2VCV-u0-8_sentence_462.wav,His inability to speak English puts him at a disadvantage.,Việc không thể nói tiếng Anh khiến anh ấy gặp bất lợi.,A2,sentence,simple,declarative,present_simple|noun_phrase|verb|pronoun|prepositional_phrase|noun|determiner,73,9.55,0,0,
73xazK1Llhw_sentence_625.wav,Disaster.,Thảm họa.,A1,word,,,noun,74,,1,1,nn2VCV-u0-8_sentence_195.wav
nn2VCV-u0-8_sentence_195.wav,"If that accident had happened in a city, it would have caused a disaster.","Nếu tai nạn đó xảy ra ở thành phố, nó sẽ gây ra một thảm họa.",A2,sentence,complex,declarative,conditional|past_perfect|noun|verb|preposition|determiner|pronoun,74,6.727,0,0,
H94_jEKPmt4_sentence_330.wav,Discover.,Phát hiện.,A1,word,,,verb,75,,1,1,0sq7LD45Kmg_sentence_065.wav
