id,native_text,target_text,cefr_level,is_public,collection_id,unit_type,structure,function,grammar_points
23,Các tên được sắp xếp theo thứ tự bảng chữ cái.,The names are arranged alphabetically.,Sơ cấp (A2),True,12,sentence,simple,declarative,present_simple|passive|noun_phrase|adverb
24,Thay thế.,Alternative.,Sơ cấp (A2),True,13,word,,,adjective
25,Chúng ta không còn cách nào khác ngoài việc sa thải anh ta.,We have no alternative but to fire him.,Sơ cấp (A2),True,13,sentence,simple,declarative,present_simple|negation|pronoun|verb|noun|noun_phrase|verb_phrase
26,Tuyệt vời.,Amaze.,Sơ cấp (A2),True,14,word,,,verb
27,Tôi ngạc nhiên là không ai để ý đến chất lượng không khí.,It amazes me that no one noticed the air.,Sơ cấp (A2),True,14,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|noun|determiner
28,Giải trí.,Amuse.,Vỡ lòng (A1),True,15,word,,,verb
29,Bức ảnh đó sẽ khiến bạn thích thú.,That picture will amuse you.,Sơ cấp (A2),True,15,sentence,simple,declarative,future_will|noun_phrase|verb_phrase|determiner|noun|verb|pronoun
30,Phân tích.,Analyze.,Vỡ lòng (A1),True,16,word,,,verb
31,Anh ấy đã cố gắng phân tích cảm xúc của mình.,He tried to analyze his feelings.,Sơ cấp (A2),True,16,sentence,simple,declarative,past_simple|pronoun|verb|noun|noun_phrase|verb_phrase
32,Làm phiền.,Annoy.,Sơ cấp (A2),True,17,word,,,verb
33,Bạn bắt đầu làm tôi khó chịu rồi đấy.,You're starting to annoy me.,Sơ cấp (A2),True,17,sentence,simple,declarative,present_continuous|pronoun|verb_phrase
34,Hãy dự đoán.,Anticipate.,Trung cấp (B1),True,18,word,,,verb
35,Chúng tôi không lường trước bất kỳ vấn đề lớn nào.,We don't anticipate any major problems.,Trung cấp (B1),True,18,sentence,simple,declarative,present_simple|negation
36,Đã duyệt.,Approving.,Sơ cấp (A2),True,19,word,,,verb
37,Cô ấy gật đầu tỏ vẻ đồng tình.,She gave me an approving nod.,Sơ cấp (A2),True,19,sentence,simple,declarative,past_simple|pronoun|determiner|adjective|noun|noun_phrase
38,Tháng tư.,April.,Vỡ lòng (A1),True,20,word,,,noun
39,Cô ấy sinh vào tháng Tư.,She was born in April.,Sơ cấp (A2),True,20,sentence,simple,declarative,past_simple|passive|pronoun|verb|preposition|noun|prepositional_phrase
40,Hãy đứng dậy.,Arise.,Vỡ lòng (A1),True,21,word,,,verb
41,Chúng tôi sẽ thông báo cho bạn về bất kỳ thay đổi nào khi chúng phát sinh.,We will keep you informed of any changes as they arise.,Sơ cấp (A2),True,21,sentence,complex,declarative,future_will|conjunction|time_sequence|prepositional_phrase
42,Sắp xếp.,Arrangement.,Sơ cấp (A2),True,22,word,,,noun
43,Tôi thích cách bố trí nội thất trong căn phòng này.,I like the arrangement of the furniture in this room.,Vỡ lòng (A1),True,22,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|preposition|noun_phrase|prepositional_phrase
44,Nỗ lực.,Attempt.,Vỡ lòng (A1),True,23,word,,,verb
45,Tôi đã thi đậu bằng lái xe ngay lần đầu tiên.,I passed my driving test at the first attempt.,Sơ cấp (A2),True,23,sentence,simple,declarative,past_simple|pronoun|determiner|noun|preposition|noun_phrase|prepositional_phrase
46,Phần thưởng.,Award.,Sơ cấp (A2),True,24,word,,,noun|verb
47,Anh ấy hoàn toàn xứng đáng với giải thưởng này.,He certainly deserves the award.,Vỡ lòng (A1),True,24,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|noun_phrase
48,Nướng.,Bake.,Vỡ lòng (A1),True,25,word,,,verb
49,Bạn chiên hay nướng nó vậy?,Did you fry it or bake it?,Sơ cấp (A2),True,25,sentence,compound,interrogative,past_simple|question_form|conjunction|verb|pronoun
50,Căn cứ.,Base.,Vỡ lòng (A1),True,26,word,,,noun|verb
51,Cô ấy ngồi xuống dưới gốc cây.,She sat down at the base of a tree.,Sơ cấp (A2),True,26,sentence,simple,declarative,past_simple|pronoun|verb|adverb|preposition|determiner|noun|prepositional_phrase
52,Vịnh.,Bay.,Vỡ lòng (A1),True,27,word,,,noun
53,Chúng tôi có một ngôi nhà với tầm nhìn hướng ra vịnh.,We have a house with a view across the bay.,Vỡ lòng (A1),True,27,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase
54,Uốn cong.,Bend.,Vỡ lòng (A1),True,28,word,,,verb
55,Đoạn đường này uốn cong về bên trái.,The road bends to the left here.,Sơ cấp (A2),True,28,sentence,simple,declarative,present_simple|noun_phrase|verb|prepositional_phrase|adverb
56,Đun sôi.,Boil.,Vỡ lòng (A1),True,29,word,,,verb
57,Chúng tôi đã yêu cầu người dân đun sôi nước uống.,We asked people to boil their drinking water.,Sơ cấp (A2),True,29,sentence,simple,declarative,past_simple|pronoun|verb|noun|determiner|noun_phrase|verb_phrase
58,Não.,Brain.,Vỡ lòng (A1),True,30,word,,,noun
59,Não bộ là trung tâm của hệ thần kinh.,The brain is the center of the nervous system.,Sơ cấp (A2),True,30,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|prepositional_phrase|determiner|noun|preposition
60,Chi nhánh.,Branch.,Sơ cấp (A2),True,31,word,,,noun|verb
61,Đồng nghiệp của họ đã được chuyển công tác đến một chi nhánh ở nước ngoài.,Their colleague was transferred to an overseas branch.,Trung cấp (B1),True,31,sentence,simple,declarative,past_simple|passive|noun|verb|adjective|preposition|determiner|noun_phrase|prepositional_phrase
62,Nhũ hoa.,Breast.,Vỡ lòng (A1),True,32,word,,,noun
63,Ung thư vú là loại ung thư phổ biến nhất ở Anh.,Breast cancer is the most common type of cancer in the UK.,Sơ cấp (A2),True,32,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|preposition|determiner|comparison
64,Thở.,Breathe.,Vỡ lòng (A1),True,33,word,,,verb
65,Tôi không thể thở bằng mũi.,I can't breathe through my nose.,Vỡ lòng (A1),True,33,sentence,simple,declarative,modal|negation|prepositional_phrase
66,Bong bóng.,Bubble.,Vỡ lòng (A1),True,34,word,,,noun|verb
67,"Khi nước sôi, các bọt khí sẽ nổi lên trên bề mặt.","Bubble When water boils, bubbles rise to the surface.",Sơ cấp (A2),True,34,sentence,complex,declarative,present_simple|conjunction|time_sequence
68,"Khi nước sôi, các bọt khí sẽ nổi lên bề mặt.","When water boils, bubbles rise to the surface.",Sơ cấp (A2),True,35,sentence,complex,declarative,present_simple|time_sequence|conjunction|noun|verb|preposition|determiner
69,Chôn.,Bury.,Vỡ lòng (A1),True,36,word,,,verb
70,Cô ấy đã chôn chiếc hộp ở khu vườn phía sau nhà.,Bury She buried the box in the back garden.,Vỡ lòng (A1),True,36,sentence,simple,declarative,past_simple|pronoun|verb|noun_phrase|prepositional_phrase
71,Cô ấy chôn chiếc hộp ở khu vườn phía sau nhà.,She buried the box in the back garden.,Sơ cấp (A2),True,37,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|preposition|adjective|noun_phrase|prepositional_phrase
72,Tạm biệt.,Bye.,Vỡ lòng (A1),True,38,word,,,
73,Cô ấy chào tạm biệt tôi rồi bỏ đi.,She said bye to me and went away.,Vỡ lòng (A1),True,38,sentence,compound,declarative,past_simple|conjunction
74,Tính toán.,Calculate.,Vỡ lòng (A1),True,39,word,,,verb
75,Tôi tính toán rằng chúng ta sẽ đến nơi vào khoảng 6 giờ sáng.,I calculate that we will arrive at the destination at about 6 AM.,Sơ cấp (A2),True,39,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|preposition|determiner|noun|adverb|noun_phrase|verb_phrase|prepositional_phrase
76,Chủ tịch.,Chairwoman.,Sơ cấp (A2),True,40,word,,,noun
77,Bà ấy là chủ tịch ủy ban tài chính.,She was the chairwoman of the finance committee.,Sơ cấp (A2),True,40,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|noun_phrase|preposition|prepositional_phrase|adjective
78,Đuổi.,Chase.,Vỡ lòng (A1),True,41,word,,,verb
79,Đừng chạy theo danh vọng.,Don't chase after fame.,Sơ cấp (A2),True,41,sentence,simple,imperative,negation|present_simple|verb|preposition|noun
80,Sưu tầm.,Collect.,Vỡ lòng (A1),True,42,word,,,verb
81,Bạn còn sưu tập tem không?,Do you still collect stamps?,Vỡ lòng (A1),True,42,sentence,simple,interrogative,present_simple|question_form|pronoun|verb|noun|adverb
82,Yêu cầu.,Command.,Vỡ lòng (A1),True,43,word,,,verb
83,Ai đã ra lệnh?,Who gave the command?,Sơ cấp (A2),True,43,sentence,simple,interrogative,past_simple|question_form|pronoun|verb|determiner|noun
84,So sánh.,Compare.,Sơ cấp (A2),True,44,word,,,verb
85,Đừng so sánh con cái của bạn với những đứa trẻ khác.,Don't compare your children with others.,Sơ cấp (A2),True,44,sentence,simple,imperative,present_simple|negation|verb|noun_phrase|prepositional_phrase
86,Lời phàn nàn.,Complaint.,Sơ cấp (A2),True,45,word,,,noun
87,"Theo tôi, tôi không có gì để phàn nàn.","As far as I'm concerned, I have no complaint.",Sơ cấp (A2),True,45,sentence,complex,declarative,present_simple|negation|pronoun|noun|adverb_phrase
88,Làm phức tạp.,Complicate.,Sơ cấp (A2),True,46,word,,,verb
89,Đừng làm vấn đề thêm phức tạp.,Don't complicate the matter.,Sơ cấp (A2),True,46,sentence,simple,imperative,negation|verb|determiner|noun|noun_phrase
90,Sự tập trung.,Concentration.,Vỡ lòng (A1),True,47,word,,,noun
91,Tôi thực sự đánh giá cao khả năng tập trung của anh ấy.,I really appreciate his concentration.,Vỡ lòng (A1),True,47,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|noun_phrase|verb_phrase
92,Bị giam giữ.,Confined.,Sơ cấp (A2),True,48,word,,,verb|adjective
93,Ông ta bị quản thúc tại gia trong phòng.,He was confined to his room.,Sơ cấp (A2),True,48,sentence,simple,declarative,past_simple|passive|pronoun|prepositional_phrase|preposition|determiner|noun
94,Đối đầu.,Confront.,Vỡ lòng (A1),True,49,word,,,verb
95,Tôi nghĩ đã đến lúc tôi phải đối mặt với vấn đề đó.,I think it's time for me to confront that problem.,Sơ cấp (A2),True,49,sentence,complex,declarative,present_simple|pronoun|verb|noun|preposition|determiner|verb_phrase
96,Bối rối.,Confuse.,Sơ cấp (A2),True,50,word,,,verb
97,Tôi luôn nhầm lẫn John với người anh em sinh đôi của anh ấy.,I always confuse John and his twin brother.,Sơ cấp (A2),True,50,sentence,simple,declarative,present_simple|pronoun|adverb|verb|noun|conjunction|noun_phrase
98,Kết nối.,Connect.,Vỡ lòng (A1),True,51,word,,,verb
99,Nối hai dây cáp lại với nhau.,Connect the two cables together.,Sơ cấp (A2),True,51,sentence,simple,imperative,present_simple|verb|noun_phrase|adverb
100,Bao gồm.,Contain.,Vỡ lòng (A1),True,52,word,,,verb
101,Một số loại nấm có chứa chất độc chết người.,Some mushrooms contain deadly poisons.,Sơ cấp (A2),True,52,sentence,simple,declarative,present_simple|determiner|noun|verb|adjective|noun_phrase
102,Sự đóng góp.,Contribution.,Sơ cấp (A2),True,53,word,,,noun
103,Tôi thực sự đánh giá cao sự đóng góp của anh ấy cho công việc này.,I really appreciate his contribution for this work.,Vỡ lòng (A1),True,53,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|preposition|prepositional_phrase
104,Thông thường.,Conventional.,Sơ cấp (A2),True,54,word,,,adjective
105,Tại sao các lớp học ngoại ngữ truyền thống lại nhàm chán đến vậy?,Why are conventional language classes so boring?,Sơ cấp (A2),True,54,sentence,simple,interrogative,question_form|present_simple|adverb|adjective|noun|noun_phrase
106,Sinh vật.,Creature.,Vỡ lòng (A1),True,55,word,,,noun
107,Rồng là một sinh vật tưởng tượng.,The dragon is an imaginary creature.,Sơ cấp (A2),True,55,sentence,simple,declarative,present_simple|noun_phrase|adjective|determiner|verb
108,Mùa vụ.,Crop.,Sơ cấp (A2),True,56,word,,,verb
109,Năm nay chúng ta có một vụ cà chua bội thu.,We have a good crop of tomatoes this year.,Sơ cấp (A2),True,56,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|preposition|noun_phrase|adverb_phrase
110,Khóc.,Cry.,Vỡ lòng (A1),True,57,word,,,verb
111,"Vừa nhìn thấy tôi, cô ấy liền bắt đầu khóc.","As soon as she saw me, she started to cry.",Sơ cấp (A2),True,57,sentence,complex,declarative,past_simple|time_sequence|pronoun|verb|conjunction|adverb_phrase|verb_phrase
112,Thuộc văn hóa.,Cultural.,Sơ cấp (A2),True,58,word,,,adjective
113,Tôi nghĩ rằng giao lưu văn hóa rất quan trọng.,I think that cultural exchanges are important.,Sơ cấp (A2),True,58,sentence,complex,declarative,present_simple|pronoun|verb|conjunction|noun_phrase|noun|adjective
114,Uốn cong.,Curl.,Sơ cấp (A2),True,59,word,,,verb
115,Tôi cuộn tờ giấy lại.,I curl the paper.,Vỡ lòng (A1),True,59,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|noun_phrase
116,Đường cong.,Curve.,Vỡ lòng (A1),True,60,word,,,verb
117,Đó là một khúc cua nguy hiểm.,That's a dangerous curve.,Sơ cấp (A2),True,60,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
118,Phong tục.,Custom.,Sơ cấp (A2),True,61,word,,,noun
119,Anh ấy rất tự hào về chiếc xe đạp độ của mình.,He is very proud of his custom bike.,Sơ cấp (A2),True,61,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective|preposition|determiner|noun|adjective_phrase|prepositional_phrase
120,Ngày.,Date.,Vỡ lòng (A1),True,62,word,,,noun|verb
121,Hôm nay là ngày bao nhiêu?,What's the date today?,Vỡ lòng (A1),True,62,sentence,simple,interrogative,present_simple|question_form|noun|verb|determiner|adverb
122,Sự phân rã.,Decay.,Sơ cấp (A2),True,63,word,,,verb
123,"Muối giúp bảo quản thực phẩm, ngăn ngừa hư hỏng.",Salt helps to preserve food from decay.,Trung cấp (B1),True,63,sentence,simple,declarative,present_simple|noun|verb|prepositional_phrase
124,Quyết định.,Decide.,Vỡ lòng (A1),True,64,word,,,verb
125,Họ quyết định khoảng cách là bao xa?,They decide how far is it?,Sơ cấp (A2),True,64,sentence,complex,declarative,present_simple|pronoun|verb|question_form|adverb
126,Tuyên bố.,Declare.,Vỡ lòng (A1),True,65,word,,,verb
127,Bạn có điều gì cần khai báo không?,Do you have anything to declare?,Sơ cấp (A2),True,65,sentence,simple,interrogative,present_simple|question_form|pronoun|verb|verb_phrase
128,Trang trí.,Decorate.,Vỡ lòng (A1),True,66,word,,,verb
129,Chúng ta cùng trang trí cây thông Noel nhé.,Let's decorate the Christmas tree.,Vỡ lòng (A1),True,66,sentence,simple,imperative,modal|verb|noun_phrase
130,Giảm bớt.,Decrease.,Sơ cấp (A2),True,67,word,,,verb
131,Thuốc này sẽ giúp giảm đau cho bạn.,This medicine will decrease your pain.,Sơ cấp (A2),True,67,sentence,simple,declarative,future_will
132,Đã định nghĩa.,Defined.,Sơ cấp (A2),True,68,word,,,verb
133,Mọi thứ không được định nghĩa rõ ràng.,Things are not clearly defined.,Sơ cấp (A2),True,68,sentence,simple,declarative,present_simple|passive|negation|noun|verb|adverb
134,Tuyệt vời.,Delight.,Vỡ lòng (A1),True,69,word,,,verb
135,Những món quà này sẽ làm các em nhỏ vui mừng.,The gifts will delight the children.,Sơ cấp (A2),True,69,sentence,simple,declarative,future_will|noun_phrase|verb_phrase|determiner
136,Buồn bã.,Depress.,Sơ cấp (A2),True,70,word,,,verb
137,Thất bại không làm anh ấy nản chí.,Failure didn't depress him.,Trung cấp (B1),True,70,sentence,simple,declarative,past_simple|negation|noun|verb|pronoun
138,Tận tâm.,Devote.,Sơ cấp (A2),True,71,word,,,verb
139,Tôi muốn dành nhiều thời gian hơn cho gia đình.,I want to devote more time to my family.,Vỡ lòng (A1),True,71,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase|determiner
140,Kim cương.,Diamond.,Vỡ lòng (A1),True,72,word,,,noun
141,Anh ấy đã mua cho cô ấy một chiếc nhẫn kim cương.,He bought her a diamond ring.,Vỡ lòng (A1),True,72,sentence,simple,declarative,past_simple|pronoun|determiner|adjective|noun|noun_phrase|verb_phrase
142,Điều bất lợi.,Disadvantage.,Sơ cấp (A2),True,73,word,,,noun
143,Việc không thể nói tiếng Anh khiến anh ấy gặp bất lợi.,His inability to speak English puts him at a disadvantage.,Sơ cấp (A2),True,73,sentence,simple,declarative,present_simple|noun_phrase|verb|pronoun|prepositional_phrase|noun|determiner
144,Thảm họa.,Disaster.,Vỡ lòng (A1),True,74,word,,,noun
145,"Nếu tai nạn đó xảy ra ở thành phố, nó sẽ gây ra một thảm họa.","If that accident had happened in a city, it would have caused a disaster.",Sơ cấp (A2),True,74,sentence,complex,declarative,conditional|past_perfect|noun|verb|preposition|determiner|pronoun
146,Phát hiện.,Discover.,Vỡ lòng (A1),True,75,word,,,verb
147,Hòa tan.,Dissolve.,Vỡ lòng (A1),True,76,word,,,verb
148,Hòa tan viên thuốc vào một cốc nước.,Dissolve the tablet in a glass of water.,Vỡ lòng (A1),True,76,sentence,simple,imperative,verb|determiner|noun|preposition|noun_phrase|prepositional_phrase
149,Phân phát.,Distribute.,Vỡ lòng (A1),True,77,word,,,verb
150,Chúng tôi chỉ phân phối sản phẩm này tại Việt Nam.,We only distribute this product in Vietnam.,Sơ cấp (A2),True,77,sentence,simple,declarative,present_simple|pronoun|adverb|verb|determiner|noun|preposition|noun_phrase|prepositional_phrase
151,Quấy rầy.,Disturb.,Vỡ lòng (A1),True,78,word,,,verb
152,"Tôi xin lỗi vì đã làm phiền, nhưng có cuộc gọi đến.","I'm sorry to disturb you, but there's a phone call for you.",Sơ cấp (A2),True,78,sentence,compound,declarative,present_simple|conjunction|verb_phrase|noun_phrase
153,Thống trị.,Dominate.,Vỡ lòng (A1),True,79,word,,,verb
154,Cô ấy lúc nào cũng muốn thống trị mọi người.,She always wants to dominate everyone.,Sơ cấp (A2),True,79,sentence,simple,declarative,present_simple|pronoun|adverb|verb_phrase
155,Chấm.,Dot.,Vỡ lòng (A1),True,80,word,,,noun
156,Hòn đảo này là một chấm xanh nhỏ trên bản đồ.,The island is a small green dot on the map.,Sơ cấp (A2),True,80,sentence,simple,declarative,present_simple|noun|verb|adjective|preposition|determiner|noun_phrase|prepositional_phrase
157,Cái trống.,Drum.,Vỡ lòng (A1),True,81,word,,,noun|verb
158,Ở trường tôi có một cái trống lớn.,There is a big drum in my school.,Vỡ lòng (A1),True,81,sentence,simple,declarative,present_simple|noun|verb|adjective|preposition|determiner|noun_phrase|prepositional_phrase
159,Khuỷu tay.,Elbow.,Vỡ lòng (A1),True,82,word,,,noun
160,"Khuỷu tay tôi đau quá, chắc tôi phải đến bệnh viện thôi.","My elbow really hurts, I think I should go to the hospital.",Vỡ lòng (A1),True,82,sentence,compound,declarative,present_simple|modal|noun_phrase|adverb|prepositional_phrase
161,Điện tử.,Electronic.,Sơ cấp (A2),True,83,word,,,adjective
162,Máy tính là một thiết bị điện tử.,Computer is an electronic device.,Vỡ lòng (A1),True,83,sentence,simple,declarative,present_simple|noun|verb|adjective|determiner|noun_phrase
163,Xấu hổ.,Embarrass.,Sơ cấp (A2),True,84,word,,,verb
164,Tôi không cố ý làm bạn xấu hổ.,I didn't mean to embarrass you.,Sơ cấp (A2),True,84,sentence,simple,declarative,past_simple|negation|pronoun|verb_phrase
165,Nhấn mạnh.,Emphasize.,Vỡ lòng (A1),True,85,word,,,verb
166,Tôi muốn nhấn mạnh tầm quan trọng của việc hoàn thành việc này đúng thời hạn.,I want to emphasize the need to get this done on time.,Sơ cấp (A2),True,85,sentence,simple,declarative,present_simple|pronoun|verb|noun|determiner|preposition|verb_phrase|noun_phrase|prepositional_phrase
167,Thuê.,Employ.,Sơ cấp (A2),True,86,word,,,verb
168,Công ty đã quyết định tuyển dụng hai thư ký mới.,The company has decided to employ two new secretaries.,Sơ cấp (A2),True,86,sentence,simple,declarative,present_perfect|noun_phrase|verb_phrase|noun|verb|adjective|determiner
169,Nhà tuyển dụng.,Employer.,Sơ cấp (A2),True,87,word,,,noun
170,Cô ấy được chủ lao động tăng lương.,She was given a raise by her employer.,Sơ cấp (A2),True,87,sentence,simple,declarative,past_simple|passive|pronoun|noun|prepositional_phrase|noun_phrase
171,Khích lệ.,Encourage.,Vỡ lòng (A1),True,88,word,,,verb
172,Bạn phải khuyến khích anh ấy thử lại.,You must encourage him to try again.,Sơ cấp (A2),True,88,sentence,simple,declarative,modal|pronoun|verb|adverb|verb_phrase
173,Giải trí.,Entertain.,Vỡ lòng (A1),True,89,word,,,verb
174,Anh ấy quả thực biết cách làm cho mọi người vui vẻ.,He certainly knows how to entertain people.,Sơ cấp (A2),True,89,sentence,simple,declarative,present_simple|pronoun|adverb|verb_phrase
175,Vân vân.,Etc.,Sơ cấp (A2),True,90,word,,,conjunction
176,"Thư viện này có rất nhiều loại sách, tiểu thuyết, truyện tranh, v.v.","There are many kinds of books, novels, comics, etc in this library.",Sơ cấp (A2),True,90,sentence,simple,declarative,present_simple|noun|verb|determiner|preposition|noun_phrase|prepositional_phrase
177,Euro.,Euro.,Sơ cấp (A2),True,91,word,,,noun
178,Bạn có thể cho tôi một Euro được không?,Can you give me a Euro?,Vỡ lòng (A1),True,91,sentence,simple,interrogative,modal|question_form|pronoun|verb|noun_phrase
179,Nói quá.,Exaggerate.,Sơ cấp (A2),True,92,word,,,verb
180,Có vẻ như cô ấy có xu hướng phóng đại mọi chuyện.,It seems that she has a tendency to exaggerate things.,Trung cấp (B1),True,92,sentence,complex,declarative,present_simple|pronoun|verb|noun|determiner|relative_clause|noun_phrase|verb_phrase
181,Nghiên cứu.,Examine.,Vỡ lòng (A1),True,93,word,,,verb
182,Tốt hơn hết bạn nên xem xét kỹ hợp đồng trước khi ký.,You'd better examine the contract carefully before signing.,Sơ cấp (A2),True,93,sentence,simple,declarative,modal|verb|noun|adverb|preposition|time_sequence|determiner|noun_phrase|prepositional_phrase
183,Kỳ vọng.,Expectation.,Sơ cấp (A2),True,94,word,,,noun
184,Kết quả trái ngược với dự đoán của chúng tôi.,The results were contrary to our expectation.,Trung cấp (B1),True,94,sentence,simple,declarative,past_simple|noun_phrase|verb|adjective|prepositional_phrase|determiner|noun|preposition
185,Nổ.,Explode.,Vỡ lòng (A1),True,95,word,,,verb
186,Quả bom được hẹn giờ phát nổ vào giờ cao điểm.,The bomb was timed to explode during the rush hour.,Sơ cấp (A2),True,95,sentence,simple,declarative,past_simple|passive|noun_phrase|prepositional_phrase
187,Khám phá.,Explore.,Vỡ lòng (A1),True,96,word,,,verb
188,Tôi quyết định ra ngoài khám phá thị trấn.,I decided to go out and explore the town.,Vỡ lòng (A1),True,96,sentence,simple,declarative,past_simple|pronoun|verb_phrase|conjunction|noun
189,Cái quạt.,Fan.,Sơ cấp (A2),True,97,word,,,noun|verb
190,Trời nóng nên tôi bật quạt lên.,"It was hot, so I turned on the fan.",Sơ cấp (A2),True,97,sentence,compound,declarative,past_simple|conjunction|reason_result|pronoun|verb|adjective|determiner|noun
191,Ngọn lửa.,Flame.,Vỡ lòng (A1),True,98,word,,,noun
192,Nó bỗng bốc cháy.,It burst into flame.,Vỡ lòng (A1),True,98,sentence,simple,declarative,past_simple|pronoun|prepositional_phrase|preposition|noun
193,Chớp.,Flash.,Vỡ lòng (A1),True,99,word,,,verb
194,Bạn có thấy tia chớp đó không?,Did you see that flash of lightning?,Vỡ lòng (A1),True,99,sentence,simple,interrogative,past_simple|question_form|pronoun|verb|determiner|noun|preposition|noun_phrase
195,Hương vị.,Flavor.,Vỡ lòng (A1),True,100,word,,,noun
196,Món ăn này có hương vị độc đáo.,This dish has an unusual flavor.,Sơ cấp (A2),True,100,sentence,simple,declarative,present_simple|noun_phrase|verb|determiner|adjective|noun
197,Chảy.,Flow.,Vỡ lòng (A1),True,101,word,,,verb
198,Chúng tôi đang gặp vấn đề về dòng tiền.,We have a cash flow problem.,Sơ cấp (A2),True,101,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun_phrase
199,Lực lượng.,Force.,Vỡ lòng (A1),True,102,word,,,verb
200,Bạn không thể ép buộc tôi làm bất cứ điều gì.,You can't force me to do anything.,Vỡ lòng (A1),True,102,sentence,simple,declarative,modal|negation|pronoun|verb
201,Cái nĩa.,Fork.,Vỡ lòng (A1),True,103,word,,,noun
202,"Chúng ta thường ăn bằng dao, nĩa và thìa.","We usually eat with a knife, fork, and spoon.",Sơ cấp (A2),True,103,sentence,simple,declarative,present_simple|pronoun|adverb|verb|preposition|noun|conjunction|prepositional_phrase
203,Đông cứng.,Freeze.,Vỡ lòng (A1),True,104,word,,,verb
