id,source_audio_path,en_source_text,vi_translation,cefr_level,unit_type,structure,function,grammar_points,match_count,collection_id,no_conflict_match_count,matching_ids
sent_26,hhyViRq9AgI_sentence_594.wav,Mail.,Thư.,A1,word,,,noun|verb,1,col_89,1,sent_6640
sent_27,DctCSmHYCWc_sentence_381.wav,Meanwhile.,"Trong khi đó,...",A2,word,,,adverb,1,col_88,1,sent_9914
sent_28,MYQ5iy3aRSo_sentence_761.wav,Mentally.,Về mặt tinh thần.,A1,word,,,adverb,1,col_87,1,sent_9129
sent_29,my310Q7i_5c_sentence_369.wav,Ministry.,Bộ.,A2,word,,,noun,1,col_86,1,sent_8401
sent_30,L8MZhCnzX9M_sentence_709.wav,Mixture.,Hỗn hợp.,A1,word,,,noun,1,col_85,1,sent_9827
sent_31,VQeC1ZO2L-w_sentence_513.wav,Motion.,Cử động.,A1,word,,,noun,1,col_84,1,sent_7331
sent_32,d448ERf2gJk_sentence_639.wav,Neatly.,Gọn gàng.,A2,word,,,adverb,1,col_83,1,sent_5977
sent_33,eNFFf2rcKC8_sentence_431.wav,Needle.,Cây kim.,A2,word,,,noun,1,col_82,1,sent_5615
sent_34,90DzeyiIBCw_sentence_578.wav,Nervously.,Lo lắng.,A2,word,,,adverb,1,col_81,1,sent_3228
sent_35,Ha9kWCZd408_sentence_259.wav,Nest.,Tổ.,A1,word,,,noun|verb,1,col_80,1,sent_10131
sent_36,eNFFf2rcKC8_sentence_195.wav,Nevertheless.,Tuy nhiên.,A2,word,,,adverb,1,col_79,1,sent_9798
sent_37,90DzeyiIBCw_sentence_391.wav,Nicely.,Tuyệt vời.,A2,word,,,adverb,1,col_78,1,sent_4722
sent_38,Ha9kWCZd408_sentence_667.wav,Noticeable.,Dễ nhận thấy.,A2,word,,,adjective,1,col_77,1,sent_6217
sent_39,DRNH2LZ7HH0_sentence_342.wav,Nuclear.,Hạt nhân.,A2,word,,,adjective,1,col_76,1,sent_9317
sent_40,fXyoyYdUOvc_sentence_375.wav,Oddly.,Lạ thật.,A2,word,,,adverb,1,col_75,1,sent_3216
sent_41,L8MZhCnzX9M_sentence_771.wav,Offence.,Xúc phạm.,A2,word,,,noun,1,col_74,1,sent_7488
sent_42,cQU8U99fZnQ_sentence_111.wav,Offensive.,Xúc phạm.,A2,word,,,adjective,1,col_73,1,sent_3530
sent_43,fXyoyYdUOvc_sentence_195.wav,Officially.,Chính thức.,A1,word,,,adverb,1,col_72,1,sent_4861
sent_44,B98K7c1BJ2w_sentence_431.wav,Old-fashioned.,Theo xưa.,A1,word,,,adjective,1,col_48,1,sent_6890
sent_45,FiivHZZEXCU_sentence_043.wav,Opposition.,Phe đối lập.,A2,word,,,noun,1,col_57,1,sent_8092
sent_46,6rHcPgYkDpE_sentence_270.wav,Outdoors.,Ngoài trời.,A2,word,,,adverb,1,col_46,1,sent_3821
sent_47,FiivHZZEXCU_sentence_293.wav,Partnership.,Hợp tác.,A2,word,,,noun,1,col_34,1,sent_5682
sent_48,VQeC1ZO2L-w_sentence_590.wav,Pearl.,Ngọc trai.,A1,word,,,noun,1,col_20,1,sent_6927
sent_49,3LHgzqb9HRM_sentence_035.wav,Pension.,Lương hưu.,A2,word,,,noun,1,col_19,1,sent_4022
sent_50,VbsNhBfwxf0_sentence_389.wav,Percent.,Phần trăm.,A1,word,,,noun,1,col_18,1,sent_6934
sent_51,d448ERf2gJk_sentence_690.wav,Period.,Giai đoạn.,A2,word,,,noun,1,col_17,1,sent_9394
sent_52,eNFFf2rcKC8_sentence_161.wav,Poetry.,Thơ ca.,A1,word,,,noun,1,col_16,1,sent_5602
sent_53,yzQdKLHuq4Y_sentence_601.wav,Pork.,Thịt lợn.,A2,word,,,noun,1,col_15,1,sent_9598
sent_54,VQeC1ZO2L-w_sentence_296.wav,Primarily.,Chủ yếu là vậy.,A2,word,,,adverb,1,col_14,1,sent_7564
sent_55,aHf27Jt0exE_sentence_274.wav,Reduction.,Sự giảm bớt.,A2,word,,,noun,1,col_47,1,sent_9201
sent_56,E5MtNtVAgBE_sentence_482.wav,Restriction.,Sự hạn chế.,A2,word,,,noun,1,col_12,1,sent_10173
sent_57,1CxAyEHcKHE_sentence_144.wav,Rhythm.,Nhịp điệu.,A1,word,,,noun,1,col_11,1,sent_6325
sent_58,6rHcPgYkDpE_sentence_241.wav,Rival.,Đối thủ.,A2,word,,,noun|verb,1,col_10,1,sent_7631
sent_59,-qyZgVdUmgI_sentence_083.wav,Scale.,Tỉ lệ.,A2,word,,,verb,1,col_9,1,sent_6469
sent_60,dOKwbK4u5zo_sentence_664.wav,Screen.,Màn hình.,A1,word,,,noun|verb,1,col_8,1,sent_8661
sent_61,1cHYKOqk6_I_sentence_050.wav,Secondary.,Sơ trung.,A2,word,,,adjective,1,col_7,1,sent_8925
sent_62,UUF4JSG6Ql4_sentence_233.wav,Section.,Phần.,A2,word,,,noun,1,col_6,1,sent_6938
sent_63,28wOHb8a6F4_sentence_366.wav,Sexual.,Tình dục.,A2,word,,,adjective,1,col_5,1,sent_7416
sent_64,3LHgzqb9HRM_sentence_358.wav,Soul.,Linh hồn.,A1,word,,,noun,1,col_4,1,sent_9192
sent_65,pVwMUP_iDq0_sentence_844.wav,Sticky.,Dính.,A1,word,,,adjective,1,col_3,1,sent_4706
sent_66,FiivHZZEXCU_sentence_675.wav,Tank.,Xe tăng.,A1,word,,,noun,1,col_2,1,sent_8821
sent_67,dOKwbK4u5zo_sentence_000.wav,Therefore.,Vì thế.,A1,word,,,adverb,1,col_21,1,sent_9982
sent_68,A9E8K6ffHD8_sentence_274.wav,Timetable.,Thời khóa biểu.,A2,word,,,noun,1,col_22,1,sent_7777
sent_69,6rHcPgYkDpE_sentence_374.wav,Trend.,Xu hướng.,A2,word,,,noun,1,col_23,1,sent_8577
sent_70,aHf27Jt0exE_sentence_785.wav,Unfairly.,Không công bằng.,A2,word,,,adverb,1,col_24,1,sent_3583
sent_71,A9E8K6ffHD8_sentence_284.wav,Universe.,Vũ trụ.,A1,word,,,noun,1,col_44,1,sent_8740
sent_72,elCuqmWqd28_sentence_307.wav,Upper.,Phía trên.,A2,word,,,adjective,1,col_43,1,sent_6576
sent_73,3LHgzqb9HRM_sentence_436.wav,Willingness.,Sự tự nguyện.,A2,word,,,noun,1,col_42,1,sent_7073
sent_75,Xl-hGqGxJEw_sentence_400.wav,Inability.,Bất lực.,A2,word,,,noun,2,col_437,1,sent_8418|sent_9640
sent_77,rvjLZBOi-I8_sentence_419.wav,String.,Sợi dây.,A1,word,,,noun,2,col_440,1,sent_6844|sent_6927
sent_80,S-FYtkOqTlU_sentence_334.wav,Access.,Truy cập.,A2,word,,,noun|verb,2,col_433,1,sent_6269|sent_8971
sent_84,lYaX3YkFvKQ_sentence_164.wav,Alarming.,Đáng báo động.,A2,word,,,adjective,2,col_429,1,sent_8690|sent_9471
sent_86,GUMaa1S8TAw_sentence_433.wav,Ally.,Đồng minh.,A1,word,,,noun,2,col_427,1,sent_9075|sent_9204
sent_95,EpbcSXHX_Mo_sentence_160.wav,Arise.,Hãy đứng dậy.,A1,word,,,verb,2,col_418,1,sent_3762|sent_10077
sent_97,aWTrDkYdxK4_sentence_751.wav,Associate.,Kết hợp.,A2,word,,,verb,2,col_416,1,sent_6442|sent_6977
sent_101,dOKwbK4u5zo_sentence_752.wav,Attraction.,Sự thu hút.,A1,word,,,noun,2,col_412,1,sent_7396|sent_9930
sent_103,mCWg98-YBsA_sentence_235.wav,Automatic.,Tự động.,A1,word,,,adjective,2,col_425,1,sent_4806|sent_7969
sent_111,0sq7LD45Kmg_sentence_513.wav,Bound.,Chắn chắn.,A1,word,,,adjective,2,col_470,1,sent_4007|sent_9460
sent_112,aHf27Jt0exE_sentence_698.wav,Brand.,Thương hiệu.,A1,word,,,noun,2,col_469,1,sent_5800|sent_9268
sent_114,EpbcSXHX_Mo_sentence_412.wav,Brightly.,Rực rỡ.,A1,word,,,adverb,2,col_467,1,sent_4731|sent_10030
sent_115,VQeC1ZO2L-w_sentence_050.wav,Broadcast.,Phát tin.,A2,word,,,verb,2,col_466,1,sent_4676|sent_7562
sent_119,IQMT42t0by0_sentence_236.wav,Careless.,Bất cẩn.,A1,word,,,adjective,2,col_462,1,sent_3198|sent_8594
sent_124,H94_jEKPmt4_sentence_009.wav,Chief.,Trưởng phòng.,A1,word,,,noun,2,col_457,1,sent_3395|sent_6864
sent_133,IQMT42t0by0_sentence_363.wav,Confined.,Bị giam giữ.,A2,word,,,verb|adjective,2,col_448,1,sent_5392|sent_9555
sent_141,DRNH2LZ7HH0_sentence_656.wav,Continuously.,Liên tục.,A2,word,,,adverb,2,col_372,1,sent_3026|sent_5945
sent_147,dVx3Jzfd7Hc_sentence_348.wav,Crop.,Mùa vụ.,A2,word,,,verb,2,col_367,1,sent_8679|sent_9518
sent_156,IQMT42t0by0_sentence_725.wav,Definition.,Sự định nghĩa.,A1,word,,,noun,2,col_358,1,sent_6452|sent_9830
sent_158,DRNH2LZ7HH0_sentence_730.wav,Demonstrate.,Chứng minh.,A1,word,,,verb,2,col_356,1,sent_7606|sent_8727
sent_160,1cHYKOqk6_I_sentence_148.wav,Desperately.,Trong tuyệt vọng.,A1,word,,,adverb,2,col_354,1,sent_6848|sent_9885
sent_167,cQU8U99fZnQ_sentence_543.wav,Disapprove.,Không tán thành.,A1,word,,,verb,2,col_347,1,sent_5538|sent_8009
sent_176,FBB4oj5xIIQ_sentence_833.wav,Ear.,Tai.,A1,word,,,noun,2,col_405,1,sent_5327|sent_5399
sent_178,W0La8_Trics_sentence_762.wav,Edge.,Bờ rìa.,A1,word,,,noun,2,col_403,1,sent_6310|sent_9744
sent_179,5sDjW_dZj08_sentence_698.wav,Effectively.,Có hiệu quả.,A2,word,,,adverb,2,col_402,1,sent_7253|sent_8961
sent_192,Ha9kWCZd408_sentence_070.wav,Entitle.,Cho phép.,A2,word,,,verb,2,col_389,1,sent_8942|sent_10024
sent_194,cQU8U99fZnQ_sentence_882.wav,Equivalent.,Tương đương.,A2,word,,,adjective,2,col_387,1,sent_8054|sent_8630
sent_197,1CxAyEHcKHE_sentence_618.wav,Extensive.,Rộng rãi.,A2,word,,,adjective,2,col_384,1,sent_4092|sent_6888
sent_201,1CxAyEHcKHE_sentence_347.wav,False.,Sai.,A1,word,,,adjective,2,col_380,1,sent_6696|sent_9061
sent_210,w9FIqvip19Y_sentence_366.wav,Float.,Trôi nổi.,A1,word,,,verb,2,col_569,1,sent_3425|sent_5011
sent_213,FGBLtAJdMqE_sentence_452.wav,Frequent.,Thường xuyên.,A2,word,,,adjective,2,col_595,1,sent_4667|sent_8120
sent_219,mOz6lGMKetU_sentence_377.wav,Generously.,Một cách hào phóng.,A2,word,,,adverb,2,col_566,1,sent_4049|sent_4584
sent_222,d448ERf2gJk_sentence_440.wav,Genuinely.,Thật đấy.,A1,word,,,adverb,2,col_563,1,sent_3961|sent_5680
sent_244,W0La8_Trics_sentence_048.wav,Hollow.,Rỗng.,A2,word,,,adjective,2,col_603,1,sent_3171|sent_3958
sent_261,7CmrrThEX3E_sentence_184.wav,Inevitable.,Không thể tránh khỏi.,A2,word,,,adjective,2,col_590,1,sent_2991|sent_6401
sent_264,SHZDlHAWvGM_sentence_669.wav,Infectious.,Dễ lây nhiễm.,A2,word,,,adjective,2,col_587,1,sent_3188|sent_3966
sent_266,IQMT42t0by0_sentence_385.wav,Instance.,Ví dụ.,A2,word,,,noun,2,col_585,1,sent_8443|sent_10095
sent_279,L8MZhCnzX9M_sentence_691.wav,Junior.,Nhỏ.,A1,word,,,noun,2,col_504,1,sent_3983|sent_8522
sent_282,aWTrDkYdxK4_sentence_280.wav,Knit.,Đan.,A1,word,,,verb,2,col_501,1,sent_3650|sent_5598
sent_289,UTJvBxhIaUI_sentence_346.wav,Liquid.,Chất lỏng.,A2,word,,,noun|adjective,2,col_509,1,sent_6352|sent_9507
sent_292,08jDwfm9LcA_sentence_401.wav,Loose.,Lỏng lẻo.,A1,word,,,adjective,2,col_491,1,sent_3611|sent_9325
sent_293,MYQ5iy3aRSo_sentence_819.wav,Lover.,Người yêu.,A1,word,,,noun,2,col_490,1,sent_3241|sent_3459
sent_301,3LHgzqb9HRM_sentence_182.wav,Mineral.,Khoáng chất.,A2,word,,,noun,2,col_482,1,sent_2841|sent_9650
sent_308,5QFYjqDs43g_sentence_268.wav,Mostly.,Hầu hết.,A1,word,,,adverb,2,col_527,1,sent_3571|sent_4619
sent_310,FGBLtAJdMqE_sentence_1038.wav,Multiply.,Nhân.,A1,word,,,verb,2,col_542,1,sent_7731|sent_8501
sent_316,GUksrGBeln0_sentence_831.wav,Neighborhood.,Hàng xóm.,A1,word,,,noun,2,col_536,1,sent_7774|sent_9855
sent_319,MYQ5iy3aRSo_sentence_206.wav,Newly.,Mới.,A2,word,,,adverb,2,col_533,1,sent_4720|sent_6252
sent_332,d2HRQKhrSs0_sentence_766.wav,Ordinary.,Bình thường.,A2,word,,,adjective,2,col_520,1,sent_4809|sent_6237
sent_339,E5MtNtVAgBE_sentence_377.wav,Outdoor.,Ngoài trời.,A2,word,,,adjective,2,col_343,1,sent_3290|sent_4380
sent_340,Ha9kWCZd408_sentence_288.wav,Outer.,Bên ngoài.,A2,word,,,adjective,2,col_434,1,sent_7106|sent_7892
sent_341,FMZvsN1t13I_sentence_153.wav,Outline.,Đề cương.,A2,word,,,verb,2,col_341,1,sent_8809|sent_9060
sent_354,VQeC1ZO2L-w_sentence_651.wav,Permanent.,Vĩnh viễn.,A2,word,,,adjective,2,col_170,1,sent_4939|sent_5889
sent_364,GUksrGBeln0_sentence_577.wav,Plastic.,Nhựa.,A2,word,,,noun,2,col_160,1,sent_6320|sent_6331
sent_369,3LHgzqb9HRM_sentence_418.wav,Possess.,Sở hữu.,A1,word,,,verb,2,col_155,1,sent_4041|sent_5465
sent_378,-yljNBUV0cw_sentence_564.wav,Prior.,Trước.,A2,word,,,adjective,2,col_209,1,sent_7549|sent_10150
sent_379,fXyoyYdUOvc_sentence_303.wav,Privately.,Riêng tư.,A2,word,,,adverb,2,col_208,1,sent_4740|sent_7155
sent_383,SHZDlHAWvGM_sentence_733.wav,Profession.,Nghề nghiệp.,A2,word,,,noun,2,col_204,1,sent_3090|sent_5317
sent_391,GUksrGBeln0_sentence_340.wav,Punishment.,Hình phạt.,A1,word,,,noun,2,col_196,1,sent_3204|sent_6451
sent_421,mCWg98-YBsA_sentence_610.wav,Rubber.,Cao su.,A2,word,,,noun,2,col_109,1,sent_4504|sent_4844
sent_426,1cHYKOqk6_I_sentence_859.wav,Sadly.,Đáng buồn thay.,A2,word,,,adverb,2,col_132,1,sent_4580|sent_7362
sent_431,IQMT42t0by0_sentence_158.wav,Sauce.,Nước xốt.,A2,word,,,noun,2,col_138,1,sent_3313|sent_5820
sent_432,IQMT42t0by0_sentence_278.wav,Scientific.,Có tính khoa học.,A2,word,,,adjective,2,col_139,1,sent_3376|sent_6317
sent_433,6rHcPgYkDpE_sentence_856.wav,Seal.,Niêm phong.,A1,word,,,noun|verb,2,col_342,1,sent_4280|sent_8348
sent_452,1cHYKOqk6_I_sentence_511.wav,Soldier.,Lính.,A1,word,,,noun,2,col_118,1,sent_4730|sent_8921
sent_453,eNFFf2rcKC8_sentence_126.wav,Specialist.,Chuyên gia.,A2,word,,,noun,2,col_119,1,sent_5322|sent_6362
sent_454,7kahh2YZLLY_sentence_515.wav,Specific.,Cụ thể.,A2,word,,,adjective,2,col_120,1,sent_3810|sent_4923
sent_455,FGBLtAJdMqE_sentence_271.wav,Specifically.,Cụ thể hơn.,A1,word,,,adverb,2,col_121,1,sent_3468|sent_7677
sent_456,B98K7c1BJ2w_sentence_079.wav,Spice.,Gia vị.,A1,word,,,noun,2,col_123,1,sent_6350|sent_7712
sent_459,Sov_ub_y3VM_sentence_711.wav,Status.,Trạng thái.,A2,word,,,noun,2,col_125,1,sent_4938|sent_7512
sent_460,6rHcPgYkDpE_sentence_290.wav,Steadily.,Từ từ.,A2,word,,,adverb,2,col_126,1,sent_4487|sent_4728
sent_461,73xazK1Llhw_sentence_108.wav,Steady.,Vững chắc.,A1,word,,,adjective,2,col_127,1,sent_5296|sent_7756
sent_468,1cHYKOqk6_I_sentence_334.wav,Stream.,Suối.,A1,word,,,noun|verb,2,col_217,1,sent_6490|sent_7647
sent_477,FiivHZZEXCU_sentence_718.wav,Summary.,Bản tóm tắt.,A2,word,,,noun,2,col_299,1,sent_7208|sent_8689
sent_490,CWdJd0sDlOw_sentence_216.wav,Theme.,Chủ đề.,A1,word,,,noun,2,col_286,1,sent_6470|sent_6574
sent_492,08jDwfm9LcA_sentence_320.wav,Thickness.,Độ dày.,A2,word,,,noun,2,col_284,1,sent_8834|sent_9458
sent_502,aWTrDkYdxK4_sentence_866.wav,Transparent.,Trong suốt.,A2,word,,,adjective,2,col_337,1,sent_5768|sent_6143
sent_504,UTJvBxhIaUI_sentence_569.wav,Triangle.,Tam giác.,A2,word,,,noun,2,col_335,1,sent_5853|sent_5947
sent_507,W0La8_Trics_sentence_000.wav,Ultimate.,Tối thượng.,A2,word,,,adjective,2,col_332,1,sent_4744|sent_4948
sent_509,E5MtNtVAgBE_sentence_331.wav,Uncertain.,Không chắc chắn.,A2,word,,,adjective,2,col_330,1,sent_7626|sent_7757
sent_515,VQeC1ZO2L-w_sentence_042.wav,Unfortunate.,Không may.,A2,word,,,adjective,2,col_324,1,sent_5807|sent_7083
sent_526,rvjLZBOi-I8_sentence_492.wav,Upon.,Trên.,A2,word,,,preposition,2,col_313,1,sent_5021|sent_6556
sent_529,Vm4TBei0oSk_sentence_340.wav,Video.,Băng hình.,A1,word,,,noun,2,col_325,1,sent_3612|sent_5171
sent_540,eNFFf2rcKC8_sentence_221.wav,Width.,Chiều rộng.,A2,word,,,noun,2,col_236,1,sent_7838|sent_9661
sent_548,-yljNBUV0cw_sentence_349.wav,Zone.,Vùng.,A2,word,,,noun|verb,2,col_228,1,sent_7256|sent_9021
sent_551,w9FIqvip19Y_sentence_134.wav,Combined.,Kết hợp.,A2,word,,,verb,2,col_225,1,sent_5280|sent_9956
sent_554,yY0BaDXBSbk_sentence_662.wav,Factor.,Nhân tố.,A1,word,,,verb,3,col_870,1,sent_2861|sent_6885|sent_9329
sent_557,aWTrDkYdxK4_sentence_648.wav,Inner.,Bên trong.,A2,word,,,adjective,3,col_887,1,sent_6565|sent_7892|sent_9941
sent_558,H8V-qX2PKdA_sentence_577.wav,Mark.,Đánh dấu.,A1,word,,,noun,3,col_888,1,sent_6640|sent_8322|sent_10168
sent_559,1cHYKOqk6_I_sentence_381.wav,Nature.,Thiên nhiên.,A1,word,,,noun,3,col_904,1,sent_4010|sent_4463|sent_10078
sent_561,B98K7c1BJ2w_sentence_418.wav,Palace.,Cung điện.,A1,word,,,noun,3,col_902,1,sent_8710|sent_9451|sent_9840
sent_566,GUksrGBeln0_sentence_203.wav,Trading.,Giao dịch.,A2,word,,,noun,3,col_898,1,sent_9701|sent_9738|sent_9993
sent_567,Vm4TBei0oSk_sentence_917.wav,Widely.,Trên diện rộng.,A2,word,,,adverb,3,col_897,1,sent_6356|sent_7573|sent_9748
sent_573,1Hk4z0OkyyM_sentence_791.wav,Aspect.,Diện mạo.,B1,word,,,noun,3,col_890,1,sent_7609|sent_8852|sent_9429
sent_575,Ha9kWCZd408_sentence_236.wav,Barrier.,Rào cản.,A2,word,,,noun,3,col_906,1,sent_7819|sent_9929|sent_10042
sent_582,E5MtNtVAgBE_sentence_410.wav,Creature.,Sinh vật.,A1,word,,,noun,3,col_998,1,sent_6130|sent_6822|sent_9968
sent_586,A9E8K6ffHD8_sentence_015.wav,Enable.,Cho phép.,A2,word,,,verb,3,col_993,1,sent_9641|sent_9964|sent_10169
sent_587,MYQ5iy3aRSo_sentence_154.wav,Ensure.,Đảm bảo.,A2,word,,,verb,3,col_992,1,sent_3137|sent_9496|sent_10281
sent_598,SHZDlHAWvGM_sentence_104.wav,Generation.,Thế hệ.,A2,word,,,noun,3,col_1020,1,sent_6335|sent_9528|sent_10181
sent_617,1cHYKOqk6_I_sentence_347.wav,Mr.,Ông,A1,word,,,noun,3,col_962,1,sent_2817|sent_6654|sent_9278
sent_618,dvmlHiHdqSs_sentence_214.wav,Nation.,Quốc gia.,A2,word,,,noun,3,col_961,1,sent_4404|sent_4854|sent_6242
sent_622,3LHgzqb9HRM_sentence_426.wav,Phrase.,Cụm từ.,A2,word,,,noun,3,col_957,1,sent_3335|sent_7835|sent_9937
sent_636,90ycpyNEHgc_sentence_435.wav,Review.,Ôn tập.,A2,word,,,verb,3,col_982,1,sent_4616|sent_7780|sent_8731
sent_637,6rHcPgYkDpE_sentence_557.wav,Roughly.,Xấp xỉ.,A2,word,,,adverb,3,col_981,1,sent_5931|sent_8054|sent_9792
sent_647,6rHcPgYkDpE_sentence_190.wav,State.,Tình trạng.,A1,word,,,verb,3,col_969,1,sent_7353|sent_7466|sent_8678
sent_665,B98K7c1BJ2w_sentence_658.wav,Vast.,Rộng lớn.,A2,word,,,adjective,3,col_896,1,sent_6092|sent_7687|sent_8736
sent_680,90DzeyiIBCw_sentence_234.wav,Adequate.,Đủ.,A2,word,,,adjective,3,col_939,1,sent_7561|sent_8454|sent_10094
sent_685,7kahh2YZLLY_sentence_555.wav,Ahead.,Phía trước.,A1,word,,,adverb,3,col_943,1,sent_3925|sent_4719|sent_7816
sent_714,d448ERf2gJk_sentence_210.wav,Bone.,Xương.,A1,word,,,noun,3,col_1109,1,sent_5437|sent_9368|sent_10040
sent_750,w9FIqvip19Y_sentence_131.wav,Combine.,Kết hợp.,A2,word,,,verb,2,col_252,1,sent_5280|sent_9956
sent_762,28wOHb8a6F4_sentence_216.wav,Connect.,Kết nối.,A1,word,,,verb,3,col_1169,1,sent_3827|sent_5981|sent_9852
sent_767,1CxAyEHcKHE_sentence_055.wav,Constantly.,Liên tục.,A1,word,,,adverb,3,col_1147,1,sent_3943|sent_4009|sent_4737
sent_828,DRNH2LZ7HH0_sentence_768.wav,Enormous.,Lớn lao.,A2,word,,,adjective,3,col_1086,1,sent_6170|sent_9019|sent_9814
sent_830,L8MZhCnzX9M_sentence_712.wav,Entertainment.,Sự giải trí.,A1,word,,,noun,3,col_1087,1,sent_4807|sent_5857|sent_8793
sent_860,08jDwfm9LcA_sentence_272.wav,Flow.,Chảy.,A1,word,,,verb,3,col_1077,1,sent_6178|sent_6179|sent_6384
sent_880,EpbcSXHX_Mo_sentence_048.wav,Indicate.,Biểu thị.,A2,word,,,verb,3,col_689,1,sent_5070|sent_6340|sent_10168
sent_896,GUksrGBeln0_sentence_922.wav,Lightly.,Nhẹ nhàng.,A1,word,,,adverb,3,col_673,1,sent_5589|sent_6812|sent_7097
sent_906,MYQ5iy3aRSo_sentence_092.wav,Media.,Phương tiện truyền thông.,A1,word,,,noun,3,col_728,1,sent_3164|sent_7497|sent_10073
sent_932,aHf27Jt0exE_sentence_361.wav,Perfectly.,Hoàn hảo.,A1,word,,,adverb,3,col_670,1,sent_3033|sent_3065|sent_8945
sent_934,J1HnyIREUuk_sentence_433.wav,Personally.,"Về cá nhân tôi,...",A2,word,,,adverb,3,col_633,1,sent_4267|sent_5900|sent_6005
sent_954,1cHYKOqk6_I_sentence_365.wav,Pure.,Nguyên chất.,A1,word,,,adjective,3,col_620,1,sent_3350|sent_4822|sent_6247
sent_961,EpbcSXHX_Mo_sentence_080.wav,Rail.,Đường ray.,A2,word,,,noun|verb,3,col_653,1,sent_4271|sent_5335|sent_6782
sent_972,lYaX3YkFvKQ_sentence_025.wav,Remarkably.,Đáng chú ý.,A2,word,,,adverb,3,col_659,1,sent_6207|sent_7359|sent_8456
sent_996,EpbcSXHX_Mo_sentence_690.wav,Shut.,Đóng lại.,A1,word,,,verb,3,col_737,1,sent_3444|sent_3491|sent_8266
sent_1004,EpbcSXHX_Mo_sentence_127.wav,Somewhat.,Phần nào đó.,A2,word,,,adverb,3,col_825,1,sent_3034|sent_3601|sent_4692
sent_1038,Rge4X4FC1fc_sentence_462.wav,Traditional.,Truyền thống.,A2,word,,,adjective,3,col_857,1,sent_4360|sent_5830|sent_9904
sent_1068,90ycpyNEHgc_sentence_585.wav,Wild.,Hoang dã.,A1,word,,,adjective,3,col_761,1,sent_7556|sent_8743|sent_8744
