audio_file,subtitle
-qyZgVdUmgI_sentence_291.wav,"As far as I know, he's never come on time."
-qyZgVdUmgI_sentence_292.wav,Do you know what time it is?
-qyZgVdUmgI_sentence_295.wav,Check.
-qyZgVdUmgI_sentence_299.wav,Customs officers have the right to check all luggages.
-qyZgVdUmgI_sentence_305.wav,Month.
-qyZgVdUmgI_sentence_309.wav,I'll be very busy next month.
-qyZgVdUmgI_sentence_312.wav,Other
-qyZgVdUmgI_sentence_333.wav,Oh.
-qyZgVdUmgI_sentence_336.wav,I owe you an apology.
-qyZgVdUmgI_sentence_340.wav,Gather.
-qyZgVdUmgI_sentence_347.wav,Solution.
-qyZgVdUmgI_sentence_348.wav,Every problem has a solution.
-qyZgVdUmgI_sentence_354.wav,Hmm.
-qyZgVdUmgI_sentence_356.wav,How did you get to know her?
-qyZgVdUmgI_sentence_361.wav,Account.
-qyZgVdUmgI_sentence_363.wav,She has a lot of money in her savings account.
-qyZgVdUmgI_sentence_368.wav,Large.
-qyZgVdUmgI_sentence_370.wav,Do you have a larger size?
-qyZgVdUmgI_sentence_371.wav,There used to be a large park here.
-qyZgVdUmgI_sentence_373.wav,Salt.
-qyZgVdUmgI_sentence_380.wav,Famous.
-qyZgVdUmgI_sentence_381.wav,She is a famous singer.
-qyZgVdUmgI_sentence_386.wav,He is eager to be famous.
-qyZgVdUmgI_sentence_387.wav,Drink.
-qyZgVdUmgI_sentence_388.wav,Let me buy you a drink.
-qyZgVdUmgI_sentence_394.wav,Inside
-qyZgVdUmgI_sentence_398.wav,Can we go Saturday?
-qyZgVdUmgI_sentence_399.wav,Today is Saturday.
-qyZgVdUmgI_sentence_407.wav,Do you have medical insurance?
-qyZgVdUmgI_sentence_412.wav,Believe.
-qyZgVdUmgI_sentence_419.wav,This building is government property.
-qyZgVdUmgI_sentence_427.wav,Satisfied.
-qyZgVdUmgI_sentence_429.wav,Are you satisfied with your salary?
-qyZgVdUmgI_sentence_434.wav,Reject.
-qyZgVdUmgI_sentence_441.wav,Crazy.
-qyZgVdUmgI_sentence_444.wav,I realize that this may sound crazy.
-qyZgVdUmgI_sentence_445.wav,But I think I've fallen in love with your younger sister.
-qyZgVdUmgI_sentence_446.wav,Variety.
-qyZgVdUmgI_sentence_451.wav,Receipt.
-qyZgVdUmgI_sentence_452.wav,"Can I have a receipt, please?"
-qyZgVdUmgI_sentence_458.wav,Priority
-qyZgVdUmgI_sentence_459.wav,Family is my number one priority.
-qyZgVdUmgI_sentence_472.wav,Storm
-qyZgVdUmgI_sentence_473.wav,There is going to be a storm.
-qyZgVdUmgI_sentence_474.wav,The storm caused a lot of damage.
-qyZgVdUmgI_sentence_477.wav,Idea.
-qyZgVdUmgI_sentence_479.wav,Do you have a better idea?
-qyZgVdUmgI_sentence_481.wav,That's a good idea.
-qyZgVdUmgI_sentence_491.wav,Important.
-qyZgVdUmgI_sentence_498.wav,Reets
-qyZgVdUmgI_sentence_505.wav,Otherwise
-qyZgVdUmgI_sentence_510.wav,What?
-qyZgVdUmgI_sentence_511.wav,What time is it?
-qyZgVdUmgI_sentence_512.wav,What are you doing?
-qyZgVdUmgI_sentence_517.wav,Obvious.
-qyZgVdUmgI_sentence_524.wav,Prevent.
-qyZgVdUmgI_sentence_531.wav,guy.
-qyZgVdUmgI_sentence_533.wav,I don't get along with that guy.
-qyZgVdUmgI_sentence_534.wav,That guy annoys me.
-qyZgVdUmgI_sentence_538.wav,Reserve.
-qyZgVdUmgI_sentence_547.wav,It's a rare disease.
-qyZgVdUmgI_sentence_550.wav,Value.
-qyZgVdUmgI_sentence_557.wav,Catch.
-qyZgVdUmgI_sentence_564.wav,Truck.
-xuEvpBrgTE_sentence_012.wav,Arrival
-xuEvpBrgTE_sentence_013.wav,I informed her of my arrival.
-xuEvpBrgTE_sentence_025.wav,What is the meaning of life?
-xuEvpBrgTE_sentence_033.wav,Occur.
-xuEvpBrgTE_sentence_035.wav,Something unexpected occurred.
-xuEvpBrgTE_sentence_038.wav,Ashore
-xuEvpBrgTE_sentence_057.wav,Tooth.
-xuEvpBrgTE_sentence_058.wav,Which tooth hurts?
-xuEvpBrgTE_sentence_068.wav,I can't express my feelings.
-xuEvpBrgTE_sentence_139.wav,Mad.
-xuEvpBrgTE_sentence_141.wav,Why are you mad at me?
-xuEvpBrgTE_sentence_190.wav,Can I assist you in any way?
-xuEvpBrgTE_sentence_203.wav,Lift.
-xuEvpBrgTE_sentence_221.wav,What is the advantage of this technique over traditional techniques?
-xuEvpBrgTE_sentence_224.wav,Unknown.
-xuEvpBrgTE_sentence_231.wav,Arrange.
-xuEvpBrgTE_sentence_237.wav,"We met at six, as arranged."
-xuEvpBrgTE_sentence_259.wav,Future.
-xuEvpBrgTE_sentence_262.wav,The best way to predict the future is to create it.
-xuEvpBrgTE_sentence_280.wav,I didn't notice anything suspicious.
-xuEvpBrgTE_sentence_285.wav,Excuse
-xuEvpBrgTE_sentence_292.wav,Shout.
-xuEvpBrgTE_sentence_295.wav,"He shouted, Get out."
-xuEvpBrgTE_sentence_296.wav,Stop shouting and listen.
-xuEvpBrgTE_sentence_301.wav,Secretary
-xuEvpBrgTE_sentence_308.wav,Answer.
-xuEvpBrgTE_sentence_325.wav,Afterwards.
-xuEvpBrgTE_sentence_329.wav,Shortly afterwards I met her again.
-xuEvpBrgTE_sentence_330.wav,Man.
-xuEvpBrgTE_sentence_331.wav,He is a good looking young man.
-xuEvpBrgTE_sentence_332.wav,Who is that man?
-xuEvpBrgTE_sentence_341.wav,Experience is required for this job.
-xuEvpBrgTE_sentence_344.wav,Totally.
-xuEvpBrgTE_sentence_348.wav,It's totally up to you.
-xuEvpBrgTE_sentence_351.wav,Dare.
-xuEvpBrgTE_sentence_358.wav,Kindness.
-xuEvpBrgTE_sentence_361.wav,Thank you for your kindness.
-xuEvpBrgTE_sentence_365.wav,Alone.
-xuEvpBrgTE_sentence_372.wav,Intelligent.
-xuEvpBrgTE_sentence_377.wav,Even.
-xuEvpBrgTE_sentence_391.wav,disappointed.
-xuEvpBrgTE_sentence_392.wav,He seemed disappointed at the results.
-xuEvpBrgTE_sentence_405.wav,Develop.
-xuEvpBrgTE_sentence_419.wav,Beef.
-xuEvpBrgTE_sentence_420.wav,She ordered a plate of beef.
-xuEvpBrgTE_sentence_421.wav,Would you like some more beef? She ordered a plate of beef. Would you like some more beef?
-xuEvpBrgTE_sentence_422.wav,Heart.
-xuEvpBrgTE_sentence_423.wav,He's alive. His heart is still beating.
-xuEvpBrgTE_sentence_427.wav,Measure.
-xuEvpBrgTE_sentence_429.wav,We want to measure your blood pressure.
-xuEvpBrgTE_sentence_430.wav,It can't be measured with money.
-xuEvpBrgTE_sentence_432.wav,Half.
-xuEvpBrgTE_sentence_435.wav,She made me wait for half an hour.
-xuEvpBrgTE_sentence_436.wav,I can do it in half the time.
-xuEvpBrgTE_sentence_437.wav,Half the work is already finished.
-xuEvpBrgTE_sentence_439.wav,Fast.
-xuEvpBrgTE_sentence_441.wav,She didn't run fast enough to catch the bus.
-xuEvpBrgTE_sentence_446.wav,Careful.
-xuEvpBrgTE_sentence_449.wav,Be careful.
-xuEvpBrgTE_sentence_451.wav,Please be careful that you don't break this vase.
-xuEvpBrgTE_sentence_452.wav,I begged him to be more careful.
-xuEvpBrgTE_sentence_454.wav,There's broken glass on the floor.
-xuEvpBrgTE_sentence_455.wav,Circle.
-xuEvpBrgTE_sentence_461.wav,She drew a circle on a piece of paper with a pencil.
-xuEvpBrgTE_sentence_462.wav,Handle
-xuEvpBrgTE_sentence_466.wav,Can you handle it?
-xuEvpBrgTE_sentence_469.wav,You.
-xuEvpBrgTE_sentence_471.wav,Where are you from?
-xuEvpBrgTE_sentence_472.wav,Are you new here?
-xuEvpBrgTE_sentence_476.wav,Glasses
-xuEvpBrgTE_sentence_478.wav,He put on his glasses and began to read.
-xuEvpBrgTE_sentence_479.wav,"Take off your glasses, please."
-xuEvpBrgTE_sentence_483.wav,Have.
-xuEvpBrgTE_sentence_484.wav,I have to leave now.
-xuEvpBrgTE_sentence_490.wav,Park.
-xuEvpBrgTE_sentence_491.wav,Would you like to go for a walk in the park?
-xuEvpBrgTE_sentence_493.wav,May I park my car here?
-xuEvpBrgTE_sentence_495.wav,The park is open to everybody.
-xuEvpBrgTE_sentence_497.wav,Midnight.
-xuEvpBrgTE_sentence_502.wav,Remind.
-xuEvpBrgTE_sentence_505.wav,This picture reminds me of my childhood.
-xuEvpBrgTE_sentence_509.wav,Paint.
-xuEvpBrgTE_sentence_512.wav,"If I were you, I would paint it blue."
-xuEvpBrgTE_sentence_514.wav,Don't touch the wet paint.
-xuEvpBrgTE_sentence_516.wav,Perfect.
-xuEvpBrgTE_sentence_520.wav,"Well I'm sorry, but nobody's perfect."
-xuEvpBrgTE_sentence_521.wav,Today is the perfect day for a picnic.
-xuEvpBrgTE_sentence_523.wav,Outside
-yljNBUV0cw_sentence_000.wav,Continuous.
-yljNBUV0cw_sentence_008.wav,I couldn't walk to school because of continuous rain.
-yljNBUV0cw_sentence_016.wav,He openly admitted his mistake.
-yljNBUV0cw_sentence_024.wav,I sincerely sympathize with these unfortunate people.
-yljNBUV0cw_sentence_027.wav,Joint.
-yljNBUV0cw_sentence_028.wav,They agreed on a joint statement.
-yljNBUV0cw_sentence_038.wav,Congress.
-yljNBUV0cw_sentence_049.wav,conference.
-yljNBUV0cw_sentence_068.wav,What's the difference between religion and philosophy?
-yljNBUV0cw_sentence_091.wav,How?
-yljNBUV0cw_sentence_105.wav,You have a great imagination.
-yljNBUV0cw_sentence_107.wav,Extreme.
-yljNBUV0cw_sentence_113.wav,They are living in extreme poverty.
-yljNBUV0cw_sentence_115.wav,damp.
-yljNBUV0cw_sentence_130.wav,Absorb.
-yljNBUV0cw_sentence_141.wav,The game is designed primarily for children.
-yljNBUV0cw_sentence_143.wav,I'm only the substitute teacher.
-yljNBUV0cw_sentence_146.wav,Substitute.
-yljNBUV0cw_sentence_161.wav,A point.
-yljNBUV0cw_sentence_163.wav,I've been appointed to help you.
-yljNBUV0cw_sentence_172.wav,complex.
-yljNBUV0cw_sentence_175.wav,Complex.
-yljNBUV0cw_sentence_204.wav,Facility
-yljNBUV0cw_sentence_205.wav,Our university has excellent sports facilities.
-yljNBUV0cw_sentence_208.wav,We can make use of these facilities.
-yljNBUV0cw_sentence_209.wav,February
-yljNBUV0cw_sentence_210.wav,February 14th is Valentine's Day.
-yljNBUV0cw_sentence_211.wav,We had a short vacation in February.
-yljNBUV0cw_sentence_212.wav,Bunch
-yljNBUV0cw_sentence_224.wav,Your friends are all just a bunch of nobodies.
-yljNBUV0cw_sentence_227.wav,Accidentally.
-yljNBUV0cw_sentence_230.wav,I accidentally stepped on her foot.
-yljNBUV0cw_sentence_242.wav,She first met him at a conference in Boston.
-yljNBUV0cw_sentence_254.wav,Mal
-yljNBUV0cw_sentence_262.wav,Let's go to the mall.
-yljNBUV0cw_sentence_281.wav,Printer.
-yljNBUV0cw_sentence_282.wav,I bought this printer yesterday.
-yljNBUV0cw_sentence_284.wav,Where is the printer?
-yljNBUV0cw_sentence_287.wav,Where is loyal?
-yljNBUV0cw_sentence_291.wav,Moyle
-yljNBUV0cw_sentence_292.wav,She's a loyal friend of mine.
-yljNBUV0cw_sentence_298.wav,Kindly.
-yljNBUV0cw_sentence_300.wav,Kindly leave me alone.
-yljNBUV0cw_sentence_304.wav,She kindly listened to my request.
-yljNBUV0cw_sentence_314.wav,Credit.
-yljNBUV0cw_sentence_323.wav,They appointed him manager.
-yljNBUV0cw_sentence_333.wav,Infection.
-yljNBUV0cw_sentence_335.wav,We're trying to prevent the infection from spreading.
-yljNBUV0cw_sentence_341.wav,Jewelry
-yljNBUV0cw_sentence_349.wav,Zone
-yljNBUV0cw_sentence_351.wav,Do not drive too fast in a school zone.
-yljNBUV0cw_sentence_357.wav,Lash.
-yljNBUV0cw_sentence_365.wav,crowded.
-yljNBUV0cw_sentence_370.wav,The shop was crowded with young people.
-yljNBUV0cw_sentence_372.wav,Tom was stuck in a crowded elevator.
-yljNBUV0cw_sentence_374.wav,The train was so crowded that I had to stand all the way.
-yljNBUV0cw_sentence_376.wav,Treatment.
-yljNBUV0cw_sentence_382.wav,She is responding well to treatment.
-yljNBUV0cw_sentence_406.wav,Conference.
-yljNBUV0cw_sentence_434.wav,Keen.
-yljNBUV0cw_sentence_445.wav,Philosophy
-yljNBUV0cw_sentence_459.wav,Is there a mall near here?
-yljNBUV0cw_sentence_464.wav,Certificate.
-yljNBUV0cw_sentence_474.wav,Wise.
-yljNBUV0cw_sentence_482.wav,He is a wise man.
-yljNBUV0cw_sentence_489.wav,Firm.
-yljNBUV0cw_sentence_532.wav,Don't fall into his trap.
-yljNBUV0cw_sentence_542.wav,Coach.
-yljNBUV0cw_sentence_551.wav,This team is trained by a good coach.
-yljNBUV0cw_sentence_564.wav,Prior.
-yljNBUV0cw_sentence_565.wav,The contract was cancelled without prior notice.
-yljNBUV0cw_sentence_583.wav,I saw her accidentally on the way here.
-yljNBUV0cw_sentence_608.wav,Cope with.
-yljNBUV0cw_sentence_613.wav,He didn't have enough experience to cope with the problem.
-yljNBUV0cw_sentence_621.wav,"If the printer has a paper jam, see page 15 for help."
-yljNBUV0cw_sentence_625.wav,Whipped desperately.
-yljNBUV0cw_sentence_649.wav,Cardboard.
-yljNBUV0cw_sentence_657.wav,Concentration.
-yljNBUV0cw_sentence_662.wav,Grandchild
-yljNBUV0cw_sentence_663.wav,He showed me the book he bought for his grandchild.
-yljNBUV0cw_sentence_666.wav,They have two grandchildren.
-yljNBUV0cw_sentence_667.wav,Dominate.
-yljNBUV0cw_sentence_681.wav,Most of the credit for our success goes to you.
-yljNBUV0cw_sentence_717.wav,Winning is secondary. We play just for fun.
-yljNBUV0cw_sentence_721.wav,Solid.
-yljNBUV0cw_sentence_726.wav,differently.
-yljNBUV0cw_sentence_727.wav,"The two words are spelled differently, but pronounced the same."
-yljNBUV0cw_sentence_728.wav,He sings the song differently each time.
-yljNBUV0cw_sentence_729.wav,I now view life differently than I used to.
-yljNBUV0cw_sentence_730.wav,The two work chain.
-yljNBUV0cw_sentence_733.wav,She chained her bicycle to the railings.
-yljNBUV0cw_sentence_734.wav,Chain.
-yljNBUV0cw_sentence_739.wav,Is the dog chained?
-yljNBUV0cw_sentence_742.wav,I've worked for this firm for years.
-yljNBUV0cw_sentence_744.wav,I have a firm belief in his innocence.
-yljNBUV0cw_sentence_752.wav,Imagination
-yljNBUV0cw_sentence_760.wav,Bush
-yljNBUV0cw_sentence_761.wav,The cat slowly approached the bush where the mouse was hiding. We have a beautiful rose bush growing just outside our front door.
-yljNBUV0cw_sentence_763.wav,The cat slowly approached the bush where the mouse was hiding.
-yljNBUV0cw_sentence_796.wav,Umbrella
-yljNBUV0cw_sentence_797.wav,You shouldn't go out in the rain without an umbrella.
-yljNBUV0cw_sentence_800.wav,Umbrella.
-yljNBUV0cw_sentence_803.wav,Can I borrow your umbrella?
-yljNBUV0cw_sentence_805.wav,I'm afraid I took your umbrella by mistake.
-yljNBUV0cw_sentence_815.wav,Leader.
-yljNBUV0cw_sentence_819.wav,The average person must drink at least a liter of water every day.
-yljNBUV0cw_sentence_831.wav,Preserve.
-yljNBUV0cw_sentence_833.wav,We will do everything to preserve our national heritage.
-yljNBUV0cw_sentence_849.wav,The coach accused us of not doing our best.
-yljNBUV0cw_sentence_850.wav,She liked tennis and became a tennis coach.
-yljNBUV0cw_sentence_861.wav,Illustrate.
-yljNBUV0cw_sentence_907.wav,"It is damp and cold today, isn't it?"
-yljNBUV0cw_sentence_917.wav,Cheerfully.
-yljNBUV0cw_sentence_921.wav,He was whistling cheerfully.
-yljNBUV0cw_sentence_923.wav,She told the story cheerfully.
08jDwfm9LcA_sentence_008.wav,Destruction.
08jDwfm9LcA_sentence_016.wav,Vision
08jDwfm9LcA_sentence_030.wav,It is impossible to resolve the conflict.
08jDwfm9LcA_sentence_031.wav,There is a great conflict between religion and science.
08jDwfm9LcA_sentence_049.wav,She is an efficient and reliable assistant.
08jDwfm9LcA_sentence_058.wav,Annually.
08jDwfm9LcA_sentence_060.wav,The conference will take place annually.
08jDwfm9LcA_sentence_063.wav,Thick.
08jDwfm9LcA_sentence_065.wav,His eyebrows were thick and bushy.
08jDwfm9LcA_sentence_068.wav,How thick are the walls?
08jDwfm9LcA_sentence_071.wav,Meat.
08jDwfm9LcA_sentence_073.wav,I expect a neat answer to this question.
08jDwfm9LcA_sentence_079.wav,Decline
08jDwfm9LcA_sentence_109.wav,Beard
08jDwfm9LcA_sentence_125.wav,Flame
08jDwfm9LcA_sentence_130.wav,Defeat.
08jDwfm9LcA_sentence_152.wav,Invention
08jDwfm9LcA_sentence_158.wav,Television is a great invention.
08jDwfm9LcA_sentence_177.wav,I couldn't resist the temptation to call her.
08jDwfm9LcA_sentence_187.wav,Exam
08jDwfm9LcA_sentence_194.wav,He is busy preparing for the examination.
08jDwfm9LcA_sentence_201.wav,Moral
08jDwfm9LcA_sentence_205.wav,He is a very moral person.
08jDwfm9LcA_sentence_217.wav,"In fact,"
08jDwfm9LcA_sentence_227.wav,He was infected with AIDS.
08jDwfm9LcA_sentence_230.wav,You'd better act upon his advice.
08jDwfm9LcA_sentence_232.wav,You can rely upon him.
08jDwfm9LcA_sentence_247.wav,Phase.
08jDwfm9LcA_sentence_252.wav,She's going through a difficult phase.
08jDwfm9LcA_sentence_266.wav,Agency.
08jDwfm9LcA_sentence_268.wav,He works for a big advertising agency.
08jDwfm9LcA_sentence_272.wav,Flow.
08jDwfm9LcA_sentence_277.wav,The river flows through the city.
08jDwfm9LcA_sentence_278.wav,We have a cash flow problem.
08jDwfm9LcA_sentence_282.wav,France is in Western Europe.
08jDwfm9LcA_sentence_285.wav,Bird
08jDwfm9LcA_sentence_286.wav,He shot at the bird but missed.
08jDwfm9LcA_sentence_287.wav,I see a bird on the roof. Tuesday.
08jDwfm9LcA_sentence_288.wav,Are you free on Tuesday?
08jDwfm9LcA_sentence_290.wav,Don't forget the meeting on Tuesday.
08jDwfm9LcA_sentence_291.wav,comfort.
08jDwfm9LcA_sentence_292.wav,"She tried to comfort him, but he kept crying."
08jDwfm9LcA_sentence_297.wav,My uncle now lives in comfort.
08jDwfm9LcA_sentence_302.wav,Violent.
08jDwfm9LcA_sentence_306.wav,I'm not a violent person.
08jDwfm9LcA_sentence_309.wav,Sheet.
08jDwfm9LcA_sentence_314.wav,Please give me a sheet of paper.
08jDwfm9LcA_sentence_320.wav,Thickness.
08jDwfm9LcA_sentence_328.wav,Physically
08jDwfm9LcA_sentence_329.wav,"Generally speaking, men are physically stronger than women."
08jDwfm9LcA_sentence_336.wav,Vote.
08jDwfm9LcA_sentence_340.wav,Do you really want to vote for him?
08jDwfm9LcA_sentence_341.wav,I didn't vote in the last election.
08jDwfm9LcA_sentence_344.wav,Counter.
08jDwfm9LcA_sentence_346.wav,Please pick up your ticket at the counter.
08jDwfm9LcA_sentence_347.wav,Please come to the counter at least an hour before your flight.
08jDwfm9LcA_sentence_356.wav,There was an unpleasant smell in the room.
08jDwfm9LcA_sentence_362.wav,The weather is so unpleasant.
08jDwfm9LcA_sentence_363.wav,Insert.
08jDwfm9LcA_sentence_365.wav,Please insert your card.
08jDwfm9LcA_sentence_371.wav,Advance.
08jDwfm9LcA_sentence_382.wav,Pride
08jDwfm9LcA_sentence_393.wav,Version
08jDwfm9LcA_sentence_401.wav,Loose.
08jDwfm9LcA_sentence_409.wav,Throughout
08jDwfm9LcA_sentence_410.wav,The museum is open daily throughout the year.
08jDwfm9LcA_sentence_412.wav,Have you looked throughout the house?
08jDwfm9LcA_sentence_420.wav,Do.
08jDwfm9LcA_sentence_428.wav,My rent is due today.
08jDwfm9LcA_sentence_429.wav,He failed due to lack of money.
08jDwfm9LcA_sentence_431.wav,Underneath
08jDwfm9LcA_sentence_437.wav,I found the key underneath the mat.
08jDwfm9LcA_sentence_449.wav,I'm only trying to comfort you.
08jDwfm9LcA_sentence_450.wav,Threat.
08jDwfm9LcA_sentence_458.wav,Seed.
08jDwfm9LcA_sentence_459.wav,It takes about three days for the seeds to sprout.
08jDwfm9LcA_sentence_461.wav,Seed
08jDwfm9LcA_sentence_465.wav,How many seeds are there in a packet?
08jDwfm9LcA_sentence_475.wav,It was obvious that they acted wrongly.
08jDwfm9LcA_sentence_477.wav,Wrongly.
08jDwfm9LcA_sentence_488.wav,Are you threatening me?
08jDwfm9LcA_sentence_493.wav,Spite.
08jDwfm9LcA_sentence_507.wav,Superior.
08jDwfm9LcA_sentence_514.wav,There is no evidence to support such a theory.
08jDwfm9LcA_sentence_515.wav,Theory
08jDwfm9LcA_sentence_532.wav,Silver
08jDwfm9LcA_sentence_536.wav,He won a silver medal.
08jDwfm9LcA_sentence_537.wav,My mother gave me a silver chain.
08jDwfm9LcA_sentence_538.wav,It was made of silver.
08jDwfm9LcA_sentence_539.wav,Upside down.
08jDwfm9LcA_sentence_543.wav,"Look, that picture is upside down. You hung it the wrong way."
08jDwfm9LcA_sentence_544.wav,SAC
08jDwfm9LcA_sentence_548.wav,What's in the sack?
08jDwfm9LcA_sentence_552.wav,Symbol
08jDwfm9LcA_sentence_556.wav,I don't know what this symbol stands for. It stands for strength and integrity.
08jDwfm9LcA_sentence_563.wav,Do I need to pay in advance?
08jDwfm9LcA_sentence_570.wav,Do I twist?
08jDwfm9LcA_sentence_571.wav,You're twisting the truth.
08jDwfm9LcA_sentence_578.wav,Scent.
08jDwfm9LcA_sentence_579.wav,He was paid 40 cents an hour.
08jDwfm9LcA_sentence_585.wav,She saved every cent possible.
08jDwfm9LcA_sentence_586.wav,Peaceful.
08jDwfm9LcA_sentence_587.wav,The park is so peaceful and quiet.
08jDwfm9LcA_sentence_590.wav,He had a peaceful life.
08jDwfm9LcA_sentence_591.wav,Deny
08jDwfm9LcA_sentence_602.wav,Tunnel.
08jDwfm9LcA_sentence_605.wav,The train passed through the tunnel.
08jDwfm9LcA_sentence_607.wav,Cookie
08jDwfm9LcA_sentence_608.wav,Could you save me a couple of cookies?
08jDwfm9LcA_sentence_609.wav,"Even though there were many cookies on the dish, I only ate three."
08jDwfm9LcA_sentence_614.wav,How many cookies did you eat?
08jDwfm9LcA_sentence_615.wav,Swallow.
08jDwfm9LcA_sentence_621.wav,"Swallow it, don't chew it."
08jDwfm9LcA_sentence_623.wav,My throat hurts when I swallow.
08jDwfm9LcA_sentence_632.wav,Awkward.
08jDwfm9LcA_sentence_659.wav,Impose
08jDwfm9LcA_sentence_698.wav,I don't find him physically attractive.
08jDwfm9LcA_sentence_704.wav,He is jealous and full of spite.
08jDwfm9LcA_sentence_708.wav,"In spite of the rain, I went out."
08jDwfm9LcA_sentence_711.wav,Mm.
08jDwfm9LcA_sentence_715.wav,Bargain.
08jDwfm9LcA_sentence_717.wav,Yeah.
08jDwfm9LcA_sentence_728.wav,Please change the sheets on the bed.
08jDwfm9LcA_sentence_745.wav,Amusing.
08jDwfm9LcA_sentence_750.wav,What an amusing situation.
08jDwfm9LcA_sentence_761.wav,Where's the checkout counter?
08jDwfm9LcA_sentence_772.wav,This tooth is loose.
08jDwfm9LcA_sentence_773.wav,Please be careful not to let the dog loose.
08jDwfm9LcA_sentence_792.wav,Euro
08jDwfm9LcA_sentence_793.wav,These shoes cost three hundred Euros.
08jDwfm9LcA_sentence_794.wav,How much is he asking for? A thousand Euros.
08jDwfm9LcA_sentence_795.wav,Can you give me a Euro?
08jDwfm9LcA_sentence_796.wav,Severely.
08jDwfm9LcA_sentence_813.wav,I take pride in my work.
08jDwfm9LcA_sentence_814.wav,You are my pride.
08jDwfm9LcA_sentence_815.wav,She took too much pride in her appearance.
08jDwfm9LcA_sentence_823.wav,Post.
08jDwfm9LcA_sentence_835.wav,Decline.
08jDwfm9LcA_sentence_856.wav,He lived a moral life.
08jDwfm9LcA_sentence_862.wav,Your threats don't frighten me.
08jDwfm9LcA_sentence_876.wav,Our trip was cancelled due to the heavy snow.
08jDwfm9LcA_sentence_890.wav,The house was in flames.
08jDwfm9LcA_sentence_891.wav,Flame.
08jDwfm9LcA_sentence_904.wav,He threatened to make it public.
08jDwfm9LcA_sentence_906.wav,The attackers threatened him with a gun.
08jDwfm9LcA_sentence_907.wav,Impose.
08jDwfm9LcA_sentence_917.wav,"I can't imagine you with a beard, she finally said."
08jDwfm9LcA_sentence_926.wav,There are a number of different theories about the cause of the disease.
08jDwfm9LcA_sentence_936.wav,You can't defeat him without my help.
08jDwfm9LcA_sentence_939.wav,Resist.
08jDwfm9LcA_sentence_950.wav,Bargain Have you forgotten our bargain?
08jDwfm9LcA_sentence_960.wav,Have you forgotten our bargain?
08jDwfm9LcA_sentence_971.wav,I bought a large sack of potatoes.
08jDwfm9LcA_sentence_972.wav,Physics.
08jDwfm9LcA_sentence_984.wav,We face the prospect of having to start all over again.
