source_audio_path,en_source_text,vi_translation,cefr_level
-qyZgVdUmgI_sentence_186.wav,Fat.,Mập.,A2
-qyZgVdUmgI_sentence_189.wav,"My uncle is thin, but my aunt is fat.","Chú tôi gầy, nhưng dì tôi thì mập.",A2
-qyZgVdUmgI_sentence_200.wav,Home.,Nhà.,A1
-qyZgVdUmgI_sentence_206.wav,She advised him to go home early.,Cô ấy khuyên anh ta về nhà sớm.,A2
-qyZgVdUmgI_sentence_219.wav,Mistake,Sai lầm,A1
-qyZgVdUmgI_sentence_220.wav,We all make mistakes.,Chúng ta đều phạm sai lầm.,A1
-qyZgVdUmgI_sentence_222.wav,I took his umbrella by mistake.,Tôi lấy nhầm cây dù của anh ta.,A2
-qyZgVdUmgI_sentence_238.wav,Less.,Ít hơn.,A1
-qyZgVdUmgI_sentence_239.wav,You'll get there in less than ten minutes.,Anh sẽ tới đó trong chưa đầy 10 phút.,A2
-qyZgVdUmgI_sentence_245.wav,Former,Trước đây,A2
-qyZgVdUmgI_sentence_257.wav,Shape.,Hình dạng.,A1
-qyZgVdUmgI_sentence_268.wav,He will get nowhere with his plans.,Kế hoạch của hắn sẽ chẳng đi đến đâu.,A2
-qyZgVdUmgI_sentence_276.wav,Pupil,Học sinh,A2
-qyZgVdUmgI_sentence_281.wav,After.,Sau đó.,A1
-qyZgVdUmgI_sentence_283.wav,Please look after my luggage for a minute.,Xin hãy trông hành lý của tôi một chút.,A1
-qyZgVdUmgI_sentence_285.wav,Can we talk about this after lunch?,Chúng ta có thể nói chuyện này sau bữa trưa không?,A1
-qyZgVdUmgI_sentence_288.wav,No.,Không.,A1
-qyZgVdUmgI_sentence_291.wav,"As far as I know, he's never come on time.","Theo như tôi biết, anh ta không bao giờ đến đúng giờ.",A2
-qyZgVdUmgI_sentence_292.wav,Do you know what time it is?,Anh có biết mấy giờ rồi không?,A1
-qyZgVdUmgI_sentence_295.wav,Check.,Kiểm tra.,A1
-qyZgVdUmgI_sentence_299.wav,Customs officers have the right to check all luggages.,Hải quan có quyền kiểm tra hành lý.,A2
-qyZgVdUmgI_sentence_305.wav,Month.,Tháng.,A2
-qyZgVdUmgI_sentence_309.wav,I'll be very busy next month.,Tháng sau tôi sẽ rất bận rộn.,A2
-qyZgVdUmgI_sentence_312.wav,Other,Khác,A2
-qyZgVdUmgI_sentence_333.wav,Oh.,Oh.,A1
-qyZgVdUmgI_sentence_336.wav,I owe you an apology.,Tôi nợ anh một lời xin lỗi.,A1
-qyZgVdUmgI_sentence_340.wav,Gather.,Tập hợp.,A1
-qyZgVdUmgI_sentence_347.wav,Solution.,Giải pháp.,A1
-qyZgVdUmgI_sentence_348.wav,Every problem has a solution.,Mọi vấn đề đều có giải pháp.,A2
-qyZgVdUmgI_sentence_354.wav,Hmm.,Hmm.,A1
-qyZgVdUmgI_sentence_356.wav,How did you get to know her?,Làm sao anh biết cô ấy?,A1
-qyZgVdUmgI_sentence_361.wav,Account.,Tài khoản.,A1
-qyZgVdUmgI_sentence_363.wav,She has a lot of money in her savings account.,Cô ấy có rất nhiều tiền trong tài khoản tiết kiệm.,A2
-qyZgVdUmgI_sentence_368.wav,Large.,Lớn.,A2
-qyZgVdUmgI_sentence_370.wav,Do you have a larger size?,Anh có cỡ lớn hơn không?,A1
-qyZgVdUmgI_sentence_371.wav,There used to be a large park here.,Từng có một công viên lớn ở đây.,A2
-qyZgVdUmgI_sentence_373.wav,Salt.,Muối.,A1
-qyZgVdUmgI_sentence_380.wav,Famous.,Nổi tiếng.,A1
-qyZgVdUmgI_sentence_381.wav,She is a famous singer.,Cô ấy là một ca sĩ nổi tiếng.,A1
-qyZgVdUmgI_sentence_386.wav,He is eager to be famous.,Anh ấy rất muốn được nổi tiếng.,A2
-qyZgVdUmgI_sentence_387.wav,Drink.,Uống đi.,A1
-qyZgVdUmgI_sentence_388.wav,Let me buy you a drink.,Để tôi mời anh một ly.,A1
-qyZgVdUmgI_sentence_394.wav,Inside,Bên trong,A1
-qyZgVdUmgI_sentence_398.wav,Can we go Saturday?,Thứ Bảy chúng ta đi được không?,A1
-qyZgVdUmgI_sentence_399.wav,Today is Saturday.,Hôm nay là thứ Bảy.,A1
-qyZgVdUmgI_sentence_407.wav,Do you have medical insurance?,Anh có bảo hiểm y tế không?,A1
-qyZgVdUmgI_sentence_412.wav,Believe.,Tin tưởng.,A1
-qyZgVdUmgI_sentence_419.wav,This building is government property.,Toà nhà này là tài sản của chính phủ.,A2
-qyZgVdUmgI_sentence_427.wav,Satisfied.,Hài lòng.,A1
-qyZgVdUmgI_sentence_429.wav,Are you satisfied with your salary?,Bạn có hài lòng với mức lương của mình không?,A2
-qyZgVdUmgI_sentence_434.wav,Reject.,Từ chối.,A1
-qyZgVdUmgI_sentence_441.wav,Crazy.,Điên rồi.,A1
-qyZgVdUmgI_sentence_444.wav,I realize that this may sound crazy.,Tôi nhận ra rằng điều này nghe có vẻ điên rồ.,A1
-qyZgVdUmgI_sentence_445.wav,But I think I've fallen in love with your younger sister.,Nhưng tôi nghĩ tôi đã yêu em gái của anh.,A1
-qyZgVdUmgI_sentence_446.wav,Variety.,Sự đa dạng.,A2
-qyZgVdUmgI_sentence_451.wav,Receipt.,Biên lai.,A2
-qyZgVdUmgI_sentence_452.wav,"Can I have a receipt, please?",Cho tôi một hoá đơn được không?,A2
-qyZgVdUmgI_sentence_458.wav,Priority,Ưu tiên,A1
-qyZgVdUmgI_sentence_459.wav,Family is my number one priority.,Gia đình là ưu tiên hàng đầu của tôi.,A2
-qyZgVdUmgI_sentence_472.wav,Storm,Bão,A1
-qyZgVdUmgI_sentence_473.wav,There is going to be a storm.,Sẽ có một cơn bão.,A1
-qyZgVdUmgI_sentence_474.wav,The storm caused a lot of damage.,Cơn bão gây ra rất nhiều thiệt hại.,A2
-qyZgVdUmgI_sentence_477.wav,Idea.,Ý tưởng.,A1
-qyZgVdUmgI_sentence_479.wav,Do you have a better idea?,Anh có ý nào hay hơn không?,A1
-qyZgVdUmgI_sentence_481.wav,That's a good idea.,Đó là một ý hay.,A1
-qyZgVdUmgI_sentence_491.wav,Important.,Quan trọng.,A1
-qyZgVdUmgI_sentence_498.wav,Reets,& Quay lại,A2
-qyZgVdUmgI_sentence_505.wav,Otherwise,Nếu không,A2
-qyZgVdUmgI_sentence_510.wav,What?,Cái gì?,A1
-qyZgVdUmgI_sentence_511.wav,What time is it?,Mấy giờ rồi nhỉ?,A1
-qyZgVdUmgI_sentence_512.wav,What are you doing?,Anh đang làm gì vậy?,A1
-qyZgVdUmgI_sentence_517.wav,Obvious.,Rõ ràng.,A1
-qyZgVdUmgI_sentence_524.wav,Prevent.,Ngăn chặn.,A1
-qyZgVdUmgI_sentence_531.wav,guy.,""" Tôi không biết. "" '",A1
-qyZgVdUmgI_sentence_533.wav,I don't get along with that guy.,Tôi không hòa thuận với gã đó.,A2
-qyZgVdUmgI_sentence_534.wav,That guy annoys me.,Gã đó làm tôi khó chịu.,A1
-qyZgVdUmgI_sentence_538.wav,Reserve.,Dự trữ.,A1
-qyZgVdUmgI_sentence_547.wav,It's a rare disease.,Đó là một bệnh hiếm gặp.,A2
-qyZgVdUmgI_sentence_550.wav,Value.,Giá trị.,A1
-qyZgVdUmgI_sentence_557.wav,Catch.,Bắt.,A1
-qyZgVdUmgI_sentence_564.wav,Truck.,Lái xe.,A1
-xuEvpBrgTE_sentence_012.wav,Arrival,Đến nơi,A1
-xuEvpBrgTE_sentence_013.wav,I informed her of my arrival.,Tôi đã báo cho cô ấy biết.,A2
-xuEvpBrgTE_sentence_025.wav,What is the meaning of life?,Ý nghĩa của cuộc sống là gì?,A2
-xuEvpBrgTE_sentence_033.wav,Occur.,Tồn tại.,A2
-xuEvpBrgTE_sentence_035.wav,Something unexpected occurred.,Có chuyện bất ngờ xảy ra.,A2
-xuEvpBrgTE_sentence_038.wav,Ashore,Xa-mơ-riName,A2
-xuEvpBrgTE_sentence_057.wav,Tooth.,Răng.,A1
-xuEvpBrgTE_sentence_058.wav,Which tooth hurts?,Răng nào đau?,A2
-xuEvpBrgTE_sentence_068.wav,I can't express my feelings.,Tôi không thể bày tỏ cảm xúc của mình.,A2
-xuEvpBrgTE_sentence_139.wav,Mad.,Mad.,A1
-xuEvpBrgTE_sentence_141.wav,Why are you mad at me?,Sao anh lại giận em?,A1
-xuEvpBrgTE_sentence_190.wav,Can I assist you in any way?,Tôi có thể giúp gì cho anh không?,A2
-xuEvpBrgTE_sentence_203.wav,Lift.,Nhấc.,A1
-xuEvpBrgTE_sentence_221.wav,What is the advantage of this technique over traditional techniques?,Lợi thế của kỹ thuật này so với các kỹ thuật truyền thống là gì?,A2
-xuEvpBrgTE_sentence_224.wav,Unknown.,Không rõ.,A2
-xuEvpBrgTE_sentence_231.wav,Arrange.,Sắp xếp.,A1
-xuEvpBrgTE_sentence_237.wav,"We met at six, as arranged.","Chúng ta gặp nhau lúc 6 giờ, như đã sắp xếp.",A2
-xuEvpBrgTE_sentence_259.wav,Future.,Tương lai.,A1
-xuEvpBrgTE_sentence_262.wav,The best way to predict the future is to create it.,Cách tốt nhất để dự đoán tương lai là tạo ra nó.,B1
-xuEvpBrgTE_sentence_280.wav,I didn't notice anything suspicious.,Tôi không nhận thấy bất cứ điều gì đáng ngờ.,A2
-xuEvpBrgTE_sentence_285.wav,Excuse,Xin lỗi,A1
-xuEvpBrgTE_sentence_292.wav,Shout.,Hét lên.,A1
-xuEvpBrgTE_sentence_295.wav,"He shouted, Get out.","Hắn hét lên, Cút ra.",A1
-xuEvpBrgTE_sentence_296.wav,Stop shouting and listen.,Đừng la hét nữa và nghe đây.,A1
-xuEvpBrgTE_sentence_301.wav,Secretary,Thư ký,A1
-xuEvpBrgTE_sentence_308.wav,Answer.,Trả lời.,A1
-xuEvpBrgTE_sentence_325.wav,Afterwards.,Sau đó.,A2
-xuEvpBrgTE_sentence_329.wav,Shortly afterwards I met her again.,Không lâu sau đó tôi gặp lại cô ấy.,A2
-xuEvpBrgTE_sentence_330.wav,Man.,Man.,A1
-xuEvpBrgTE_sentence_331.wav,He is a good looking young man.,Anh ta là một chàng trai trẻ đẹp trai.,A1
-xuEvpBrgTE_sentence_332.wav,Who is that man?,Người đàn ông đó là ai?,A1
-xuEvpBrgTE_sentence_341.wav,Experience is required for this job.,Kinh nghiệm là cần thiết cho công việc này.,A2
-xuEvpBrgTE_sentence_344.wav,Totally.,Hoàn toàn đúng.,A1
-xuEvpBrgTE_sentence_348.wav,It's totally up to you.,Hoàn toàn tuỳ thuộc vào anh.,A1
-xuEvpBrgTE_sentence_351.wav,Dare.,Hãy thách thức.,A1
-xuEvpBrgTE_sentence_358.wav,Kindness.,Tử tế.,A1
-xuEvpBrgTE_sentence_361.wav,Thank you for your kindness.,Cảm ơn vì lòng tốt của anh.,A1
-xuEvpBrgTE_sentence_365.wav,Alone.,Một mình.,A1
-xuEvpBrgTE_sentence_372.wav,Intelligent.,Thông minh.,A1
-xuEvpBrgTE_sentence_377.wav,Even.,Thậm chí.,A1
-xuEvpBrgTE_sentence_391.wav,disappointed.,) Tôi không muốn làm phiền ông.,A2
-xuEvpBrgTE_sentence_392.wav,He seemed disappointed at the results.,Ông dường như thất vọng với kết quả.,A2
-xuEvpBrgTE_sentence_405.wav,Develop.,Phát triển.,A1
-xuEvpBrgTE_sentence_419.wav,Beef.,Thịt bò.,A1
-xuEvpBrgTE_sentence_420.wav,She ordered a plate of beef.,Cô ấy gọi một đĩa thịt bò.,A1
-xuEvpBrgTE_sentence_421.wav,Would you like some more beef? She ordered a plate of beef. Would you like some more beef?,Cô có muốn thêm thịt bò không? Cô gọi một đĩa thịt bò. Cô có muốn thêm thịt bò không?,A2
-xuEvpBrgTE_sentence_422.wav,Heart.,Trái tim.,A1
-xuEvpBrgTE_sentence_423.wav,He's alive. His heart is still beating.,"Anh ấy còn sống, tim vẫn đập.",A1
-xuEvpBrgTE_sentence_427.wav,Measure.,Thước đo.,A1
-xuEvpBrgTE_sentence_429.wav,We want to measure your blood pressure.,Chúng tôi muốn đo huyết áp của bạn.,A2
-xuEvpBrgTE_sentence_430.wav,It can't be measured with money.,Nó không thể đo bằng tiền.,A2
-xuEvpBrgTE_sentence_432.wav,Half.,Một nửa.,A1
-xuEvpBrgTE_sentence_435.wav,She made me wait for half an hour.,Cô ấy bắt tôi chờ nửa tiếng.,A2
-xuEvpBrgTE_sentence_436.wav,I can do it in half the time.,Tôi có thể làm điều đó trong một nửa thời gian.,A2
-xuEvpBrgTE_sentence_437.wav,Half the work is already finished.,Một nửa công việc đã hoàn thành.,A2
-xuEvpBrgTE_sentence_439.wav,Fast.,Nhanh.,A1
-xuEvpBrgTE_sentence_441.wav,She didn't run fast enough to catch the bus.,Cô ấy chạy không đủ nhanh để bắt kịp xe buýt.,A2
-xuEvpBrgTE_sentence_446.wav,Careful.,Cẩn thận.,A1
-xuEvpBrgTE_sentence_449.wav,Be careful.,Hãy cẩn thận.,A1
-xuEvpBrgTE_sentence_451.wav,Please be careful that you don't break this vase.,Xin hãy cẩn thận đừng làm vỡ bình hoa này.,A1
-xuEvpBrgTE_sentence_452.wav,I begged him to be more careful.,Tôi đã cầu xin anh ta cẩn thận hơn.,A1
-xuEvpBrgTE_sentence_454.wav,There's broken glass on the floor.,Có mảnh kính vỡ trên sàn.,A1
-xuEvpBrgTE_sentence_455.wav,Circle.,Tròn.,A1
-xuEvpBrgTE_sentence_461.wav,She drew a circle on a piece of paper with a pencil.,Cô vẽ một vòng tròn trên một mảnh giấy bằng bút chì.,A2
-xuEvpBrgTE_sentence_462.wav,Handle,Xử lý,A1
-xuEvpBrgTE_sentence_466.wav,Can you handle it?,Anh có thể xử lý được không?,A1
-xuEvpBrgTE_sentence_469.wav,You.,Bạn.,A1
-xuEvpBrgTE_sentence_471.wav,Where are you from?,Anh từ đâu đến?,A1
-xuEvpBrgTE_sentence_472.wav,Are you new here?,Anh là người mới à?,A1
-xuEvpBrgTE_sentence_476.wav,Glasses,Kính,A1
-xuEvpBrgTE_sentence_478.wav,He put on his glasses and began to read.,Nó đeo kính vào và bắt đầu đọc.,A2
-xuEvpBrgTE_sentence_479.wav,"Take off your glasses, please.",Làm ơn bỏ kính ra.,A1
-xuEvpBrgTE_sentence_483.wav,Have.,Có.,A1
-xuEvpBrgTE_sentence_484.wav,I have to leave now.,Tôi phải đi ngay.,A1
-xuEvpBrgTE_sentence_490.wav,Park.,Park.,A1
-xuEvpBrgTE_sentence_491.wav,Would you like to go for a walk in the park?,Anh có muốn đi dạo trong công viên không?,A1
-xuEvpBrgTE_sentence_493.wav,May I park my car here?,Tôi đỗ xe ở đây được không?,A1
-xuEvpBrgTE_sentence_495.wav,The park is open to everybody.,Công viên mở cửa cho mọi người.,A1
-xuEvpBrgTE_sentence_497.wav,Midnight.,Nửa đêm.,A1
-xuEvpBrgTE_sentence_502.wav,Remind.,Nhắc nhở.,A1
-xuEvpBrgTE_sentence_505.wav,This picture reminds me of my childhood.,Bức ảnh này nhắc tôi nhớ về tuổi thơ của mình.,A1
-xuEvpBrgTE_sentence_509.wav,Paint.,Sơn.,A1
-xuEvpBrgTE_sentence_512.wav,"If I were you, I would paint it blue.","Nếu tôi là anh, tôi sẽ sơn nó màu xanh.",A1
-xuEvpBrgTE_sentence_514.wav,Don't touch the wet paint.,Đừng chạm vào sơn ướt.,A1
-xuEvpBrgTE_sentence_516.wav,Perfect.,Hoàn hảo.,A1
-xuEvpBrgTE_sentence_520.wav,"Well I'm sorry, but nobody's perfect.","Tôi xin lỗi, nhưng không ai hoàn hảo cả.",A1
-xuEvpBrgTE_sentence_521.wav,Today is the perfect day for a picnic.,Hôm nay là ngày hoàn hảo cho một chuyến dã ngoại.,A1
-xuEvpBrgTE_sentence_523.wav,Outside,Bên ngoài,A1
-yljNBUV0cw_sentence_000.wav,Continuous.,Liên tục.,A2
-yljNBUV0cw_sentence_008.wav,I couldn't walk to school because of continuous rain.,Tôi không thể đi bộ đến trường vì mưa liên tục.,A2
-yljNBUV0cw_sentence_016.wav,He openly admitted his mistake.,Ông ta đã công khai thừa nhận sai lầm của mình.,A2
-yljNBUV0cw_sentence_024.wav,I sincerely sympathize with these unfortunate people.,Tôi thành thật thông cảm với những người không may này.,A2
-yljNBUV0cw_sentence_027.wav,Joint.,Khớp.,A2
-yljNBUV0cw_sentence_028.wav,They agreed on a joint statement.,Họ đã đồng ý về một tuyên bố chung.,A2
-yljNBUV0cw_sentence_038.wav,Congress.,Quốc hội.,A2
-yljNBUV0cw_sentence_049.wav,conference.,Hội nghị.,A2
-yljNBUV0cw_sentence_068.wav,What's the difference between religion and philosophy?,Sự khác nhau giữa tôn giáo và triết học là gì?,A2
-yljNBUV0cw_sentence_091.wav,How?,Bằng cách nào?,A1
-yljNBUV0cw_sentence_105.wav,You have a great imagination.,Anh có trí tưởng tượng tuyệt vời.,A1
-yljNBUV0cw_sentence_107.wav,Extreme.,Cực đoan.,A2
-yljNBUV0cw_sentence_113.wav,They are living in extreme poverty.,Họ đang sống trong nghèo đói cùng cực.,A2
-yljNBUV0cw_sentence_115.wav,damp.,Bạn có thể dùng khăn giấy ướt để lau khô.,A2
-yljNBUV0cw_sentence_130.wav,Absorb.,Hấp thụ.,A1
-yljNBUV0cw_sentence_141.wav,The game is designed primarily for children.,Trò chơi được thiết kế chủ yếu cho trẻ em.,A2
-yljNBUV0cw_sentence_143.wav,I'm only the substitute teacher.,Tôi chỉ là giáo viên thay thế.,A1
-yljNBUV0cw_sentence_146.wav,Substitute.,Thay thế.,A2
-yljNBUV0cw_sentence_161.wav,A point.,Một điểm.,A1
-yljNBUV0cw_sentence_163.wav,I've been appointed to help you.,Tôi được chỉ định để giúp anh.,A2
-yljNBUV0cw_sentence_172.wav,complex.,"Bạn có thể tìm thấy những người có cùng sở thích với bạn, nhưng họ không phải là những người duy nhất có thể giúp bạn.",A2
-yljNBUV0cw_sentence_175.wav,Complex.,Phức tạp.,A2
-yljNBUV0cw_sentence_204.wav,Facility,Cơ sở,A1
-yljNBUV0cw_sentence_205.wav,Our university has excellent sports facilities.,Trường đại học của chúng tôi có cơ sở thể thao tuyệt vời.,A2
-yljNBUV0cw_sentence_208.wav,We can make use of these facilities.,Chúng ta có thể tận dụng những tiện nghi này.,A2
-yljNBUV0cw_sentence_209.wav,February,Tháng Hai,A2
-yljNBUV0cw_sentence_210.wav,February 14th is Valentine's Day.,14 tháng 2 là ngày Valentine.,A1
-yljNBUV0cw_sentence_211.wav,We had a short vacation in February.,Chúng tôi có một kỳ nghỉ ngắn vào tháng Hai.,A2
-yljNBUV0cw_sentence_212.wav,Bunch,Bó,A1
-yljNBUV0cw_sentence_224.wav,Your friends are all just a bunch of nobodies.,Bạn của anh chỉ là một đám vô danh tiểu tốt.,A2
-yljNBUV0cw_sentence_227.wav,Accidentally.,Sự ngẫu nhiên.,A2
-yljNBUV0cw_sentence_230.wav,I accidentally stepped on her foot.,Tôi vô tình giẫm lên chân cô ấy.,A1
-yljNBUV0cw_sentence_242.wav,She first met him at a conference in Boston.,Lần đầu tiên cô gặp anh ta tại một hội nghị ở Boston.,A2
-yljNBUV0cw_sentence_254.wav,Mal,Mal,A1
-yljNBUV0cw_sentence_262.wav,Let's go to the mall.,Hãy đi đến trung tâm mua sắm.,A1
-yljNBUV0cw_sentence_281.wav,Printer.,Máy in.,A1
-yljNBUV0cw_sentence_282.wav,I bought this printer yesterday.,Hôm qua tôi mua cái máy in này.,A1
-yljNBUV0cw_sentence_284.wav,Where is the printer?,Máy in ở đâu?,A1
-yljNBUV0cw_sentence_287.wav,Where is loyal?,Lòng trung thành ở đâu?,A2
-yljNBUV0cw_sentence_291.wav,Moyle,Moyle,A1
-yljNBUV0cw_sentence_292.wav,She's a loyal friend of mine.,Cô ấy là bạn trung thành của tôi.,A2
-yljNBUV0cw_sentence_298.wav,Kindly.,Vui vẻ.,A1
-yljNBUV0cw_sentence_300.wav,Kindly leave me alone.,Vui lòng để tôi yên.,A1
-yljNBUV0cw_sentence_304.wav,She kindly listened to my request.,Cô ấy đã nghe lời thỉnh cầu của tôi.,A2
-yljNBUV0cw_sentence_314.wav,Credit.,Tín dụng.,A1
-yljNBUV0cw_sentence_323.wav,They appointed him manager.,Họ bổ nhiệm ông quản lý.,A2
-yljNBUV0cw_sentence_333.wav,Infection.,Nhiễm trùng.,A2
-yljNBUV0cw_sentence_335.wav,We're trying to prevent the infection from spreading.,Chúng tôi đang cố ngăn chặn sự lây lan của bệnh.,A2
-yljNBUV0cw_sentence_341.wav,Jewelry,Trang sức,A1
-yljNBUV0cw_sentence_349.wav,Zone,Vùng,A2
-yljNBUV0cw_sentence_351.wav,Do not drive too fast in a school zone.,Không lái xe quá nhanh trong khu vực trường học.,A1
-yljNBUV0cw_sentence_357.wav,Lash.,Lash.,A1
-yljNBUV0cw_sentence_365.wav,crowded.,đông đúc.,A2
-yljNBUV0cw_sentence_370.wav,The shop was crowded with young people.,Cửa hàng đông đúc với những người trẻ tuổi.,A2
-yljNBUV0cw_sentence_372.wav,Tom was stuck in a crowded elevator.,Tom bị kẹt trong một thang máy đông đúc.,A2
-yljNBUV0cw_sentence_374.wav,The train was so crowded that I had to stand all the way.,Tàu đông quá nên tôi phải đứng suốt đường.,A2
-yljNBUV0cw_sentence_376.wav,Treatment.,Điều trị.,A1
-yljNBUV0cw_sentence_382.wav,She is responding well to treatment.,Cô ấy đang đáp ứng tốt với điều trị.,A2
-yljNBUV0cw_sentence_406.wav,Conference.,Hội nghị.,A2
-yljNBUV0cw_sentence_434.wav,Keen.,Keen.,A1
-yljNBUV0cw_sentence_445.wav,Philosophy,TRIẾT LÝ,A1
-yljNBUV0cw_sentence_459.wav,Is there a mall near here?,Có trung tâm thương mại nào gần đây không?,A1
-yljNBUV0cw_sentence_464.wav,Certificate.,Chứng nhận.,A1
-yljNBUV0cw_sentence_474.wav,Wise.,Thông minh.,A1
-yljNBUV0cw_sentence_482.wav,He is a wise man.,Ông ấy là một người thông thái.,A1
-yljNBUV0cw_sentence_489.wav,Firm.,Độ chắc chắn.,A1
-yljNBUV0cw_sentence_532.wav,Don't fall into his trap.,Đừng rơi vào bẫy của hắn.,A1
-yljNBUV0cw_sentence_542.wav,Coach.,Huấn luyện viên.,A1
-yljNBUV0cw_sentence_551.wav,This team is trained by a good coach.,Đội bóng này được huấn luyện bởi một huấn luyện viên giỏi.,A2
-yljNBUV0cw_sentence_564.wav,Prior.,Prior.,A2
-yljNBUV0cw_sentence_565.wav,The contract was cancelled without prior notice.,Hợp đồng đã bị hủy bỏ mà không có thông báo trước.,B1
-yljNBUV0cw_sentence_583.wav,I saw her accidentally on the way here.,Tôi tình cờ thấy cô ấy trên đường đến đây.,A2
-yljNBUV0cw_sentence_608.wav,Cope with.,Đối phó với.,B1
-yljNBUV0cw_sentence_613.wav,He didn't have enough experience to cope with the problem.,Anh ta không có đủ kinh nghiệm để đối phó với vấn đề.,B1
-yljNBUV0cw_sentence_621.wav,"If the printer has a paper jam, see page 15 for help.","Nếu máy in bị kẹt giấy, bạn có thể xem thêm trên mạng để được hướng dẫn.",A2
-yljNBUV0cw_sentence_625.wav,Whipped desperately.,Tuyệt vọng.,A2
-yljNBUV0cw_sentence_649.wav,Cardboard.,Bìa các-tông.,A2
-yljNBUV0cw_sentence_657.wav,Concentration.,Tập trung.,A1
-yljNBUV0cw_sentence_662.wav,Grandchild,Chắt,A2
-yljNBUV0cw_sentence_663.wav,He showed me the book he bought for his grandchild.,Ông ấy cho tôi xem cuốn sách ông ấy mua cho cháu.,A2
-yljNBUV0cw_sentence_666.wav,They have two grandchildren.,Họ có hai đứa cháu.,A2
-yljNBUV0cw_sentence_667.wav,Dominate.,Thống trị.,A1
-yljNBUV0cw_sentence_681.wav,Most of the credit for our success goes to you.,Phần lớn công lao cho thành công của chúng tôi là nhờ anh.,A2
-yljNBUV0cw_sentence_717.wav,Winning is secondary. We play just for fun.,"Chiến thắng chỉ là thứ yếu, chúng ta chơi cho vui.",A2
-yljNBUV0cw_sentence_721.wav,Solid.,Chắc chắn.,A1
-yljNBUV0cw_sentence_726.wav,differently.,Bạn có thể tìm hiểu thêm về cách thức mà bạn có thể sử dụng để cải thiện sự tự tin của bản thân.,A2
-yljNBUV0cw_sentence_727.wav,"The two words are spelled differently, but pronounced the same.","Hai từ này được đánh vần khác nhau, nhưng phát âm giống nhau.",A2
-yljNBUV0cw_sentence_728.wav,He sings the song differently each time.,Mỗi lần anh hát một bài khác nhau.,A2
-yljNBUV0cw_sentence_729.wav,I now view life differently than I used to.,Giờ đây tôi nhìn cuộc sống khác với trước đây.,A2
-yljNBUV0cw_sentence_730.wav,The two work chain.,Hai chuỗi công việc.,A1
